,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.32,0.21,0.18,0.02,0.19,0.38,0.31,0.45,0.28,0.48
fulguro.csv,0.08,0.61,0.56,0.39,0.1,0.19,0.15,0.12,0.09,0.0
fw4spl.csv,0.42,0.06,0.64,0.62,0.29,0.59,0.0,0.35,0.33,0.57
google-web-toolkit.csv,0.42,0.18,0.62,0.5,0.42,0.05,0.24,0.01,0.37,0.37
jstock.csv,0.12,0.05,0.03,0.1,0.16,0.11,0.12,0.17,0.0,0.23
ldview.csv,0.35,0.92,0.72,0.65,0.71,0.0,0.38,0.47,0.21,0.51
nuttx.csv,0.75,0.93,0.05,0.42,0.9,0.41,0.84,0.62,0.84,0.49
utgb.csv,0.18,0.28,0.23,0.23,0.0,0.03,0.22,0.16,0.09,0.09
vdsf.csv,0.92,0.03,0.31,0.87,0.74,0.84,0.67,0.82,0.91,1.0
xbrlapi.csv,0.02,0.74,0.77,0.31,0.48,0.24,0.25,0.35,0.4,0.43
