,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.0,1.0,0.0,0.0,1.0,1.0,22.0,0.0,2.0,4.0
fulguro.csv,0.0,5.0,0.0,20.0,1.0,0.0,11.0,3.0,4.0,0.0
fw4spl.csv,0.0,0.0,0.0,20.0,1.0,0.0,0.0,5.0,4.0,2.0
google-web-toolkit.csv,0.0,28.0,0.0,12.0,1.0,2.0,20.0,0.0,0.0,0.0
jstock.csv,0.0,2.0,0.0,2.0,0.0,1.0,8.0,1.0,0.0,10.0
ldview.csv,0.0,5.0,0.0,19.0,2.0,0.0,17.0,3.0,2.0,1.0
nuttx.csv,4.0,299.0,0.0,0.0,2.0,2.0,69.0,0.0,2.0,11.0
utgb.csv,2.0,85.0,0.0,3.0,0.0,57.0,6.0,2.0,3.0,1.0
vdsf.csv,0.0,0.0,0.0,21.0,2.0,0.0,53.0,4.0,5.0,2.0
xbrlapi.csv,0.0,3.0,0.0,1.0,2.0,0.0,19.0,3.0,5.0,10.0
