,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,1.0,0.99,0.94,1.0,0.97,0.87,0.99,0.79,0.81,1.0,1.0,0.7,0.91,0.64
cubefs.csv,0.42,0.24,0.12,0.91,0.4,0.55,0.67,0.71,0.13,0.6,0.66,1.0,0.86,0.23
gisgraphy.csv,0.11,0.36,0.5,0.02,0.2,0.46,0.04,0.65,0.56,0.22,0.43,0.72,0.54,0.73
iaml.csv,0.16,0.13,0.25,0.56,0.56,0.33,0.7,0.09,0.15,0.52,0.43,0.05,0.09,0.64
ivatamasks.csv,0.89,0.33,0.44,0.77,0.36,0.56,0.57,0.82,0.15,0.48,0.45,0.97,0.69,0.82
kolmafia.csv,0.95,0.83,0.88,0.92,0.76,0.8,0.57,0.6,0.59,0.95,0.7,0.92,0.66,0.95
ogrehg.csv,0.21,0.85,0.81,0.63,0.62,0.64,0.61,0.58,0.25,0.72,0.77,0.68,0.8,0.59
olex2.csv,1.0,0.72,0.31,1.0,0.5,0.33,0.55,0.3,0.05,0.7,0.6,0.73,0.74,0.23
openwbem.csv,0.95,0.58,0.44,0.76,0.16,0.51,0.21,0.43,0.28,0.5,0.74,0.62,0.6,0.64
oppna-program-hsatools.csv,0.95,0.96,0.94,1.0,0.88,0.75,0.61,0.43,0.16,0.98,0.98,0.63,0.8,0.59
orc.csv,0.05,0.39,0.88,0.49,0.5,0.43,0.16,0.58,0.06,0.8,0.32,0.43,0.11,0.32
ta3d.csv,0.84,0.14,0.12,0.81,0.22,0.04,0.64,0.43,0.02,0.25,0.64,0.03,0.6,0.23
umber.csv,0.79,0.76,1.0,0.94,1.0,0.62,0.8,0.95,0.73,0.78,0.91,0.87,0.83,0.91
xcmetadataservicestoolkit.csv,0.95,0.44,0.38,0.79,0.14,0.3,0.89,0.3,0.65,0.82,0.81,0.25,0.49,0.36
