,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.35,0.49,0.35,0.43,0.4,0.43,0.4,0.52,0.62,0.33,0.35,0.43,0.43,0.32
cubefs.csv,0.85,0.88,0.49,0.44,0.55,0.69,0.52,0.5,0.89,0.46,0.46,0.34,0.43,0.42
gisgraphy.csv,0.68,0.65,0.61,0.67,0.75,0.64,0.86,0.42,0.58,0.79,0.53,0.4,0.44,0.68
iaml.csv,0.86,0.99,0.94,0.55,0.54,0.71,0.57,0.9,0.95,0.48,0.65,0.92,0.67,0.42
ivatamasks.csv,0.33,0.58,0.5,0.36,0.46,0.45,0.52,0.39,0.56,0.46,0.5,0.34,0.34,0.33
kolmafia.csv,0.36,0.45,0.29,0.41,0.38,0.46,0.35,0.52,0.61,0.34,0.37,0.33,0.41,0.29
ogrehg.csv,0.54,0.51,0.41,0.5,0.51,0.49,0.58,0.51,0.69,0.35,0.41,0.48,0.38,0.44
olex2.csv,0.43,0.55,0.74,0.43,0.6,0.65,0.63,0.8,0.83,0.39,0.49,0.45,0.38,0.45
openwbem.csv,0.4,0.46,0.59,0.48,0.94,0.61,0.9,0.54,0.56,0.48,0.38,0.47,0.44,0.48
oppna-program-hsatools.csv,0.33,0.49,0.43,0.43,0.43,0.41,0.38,0.47,0.76,0.32,0.32,0.39,0.4,0.33
orc.csv,0.89,0.54,0.64,0.58,0.61,0.46,0.86,0.49,0.89,0.37,0.71,0.54,0.8,0.93
ta3d.csv,0.47,0.99,0.95,0.47,0.77,0.93,0.57,0.77,0.67,0.9,0.41,0.89,0.46,0.62
umber.csv,0.55,0.44,0.29,0.41,0.39,0.4,0.42,0.43,0.54,0.39,0.34,0.37,0.4,0.31
xcmetadataservicestoolkit.csv,0.38,0.82,0.67,0.5,0.94,0.75,0.42,0.97,0.73,0.41,0.4,0.86,0.63,0.39
