,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.27,0.36,0.12,0.68,0.87,0.38,0.57,0.7,0.91,0.73,0.56,0.48,0.7,0.23
cubefs.csv,0.62,0.37,0.03,0.69,0.91,0.47,0.59,0.81,0.57,0.86,0.54,0.46,0.65,0.15
gisgraphy.csv,0.11,0.53,0.14,0.67,0.52,0.49,0.86,0.63,0.77,0.64,0.67,0.48,0.7,0.64
iaml.csv,0.14,0.33,0.25,0.77,0.85,0.39,0.74,0.7,1.0,0.68,0.5,0.25,1.0,0.37
ivatamasks.csv,0.25,0.48,0.1,0.82,0.93,0.54,0.62,0.72,0.56,0.79,0.66,0.48,0.75,0.35
kolmafia.csv,0.28,0.39,0.1,0.7,0.9,0.38,0.53,0.72,0.78,0.81,0.77,0.47,0.68,0.31
ogrehg.csv,0.1,0.36,0.13,0.79,0.85,0.59,0.61,0.66,0.79,0.67,0.55,0.66,0.76,0.29
olex2.csv,0.45,0.4,0.13,0.69,1.0,0.54,0.63,0.77,1.0,0.85,0.6,0.69,0.76,0.16
openwbem.csv,0.31,0.55,0.12,0.69,0.94,0.55,0.73,0.72,0.67,0.8,0.66,0.53,0.78,0.42
oppna-program-hsatools.csv,0.3,0.35,0.19,0.68,0.97,0.41,0.54,0.7,0.95,0.78,0.62,0.59,0.67,0.21
orc.csv,0.11,0.5,0.33,0.73,0.92,0.52,0.52,0.62,0.89,0.7,0.62,0.7,0.8,0.5
ta3d.csv,0.5,0.36,0.1,0.66,0.92,0.33,0.6,0.85,1.0,1.0,0.61,0.22,0.75,0.24
umber.csv,0.75,0.43,0.1,0.74,0.82,0.4,0.57,0.7,0.76,0.76,0.58,0.52,0.67,0.33
xcmetadataservicestoolkit.csv,0.34,0.4,0.12,0.67,0.88,0.32,0.56,0.79,0.88,0.85,0.54,0.42,0.63,0.2
