,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv
bochs.csv,0.12,0.17,0.41,0.47,0.99
encog-java.csv,1.0,0.37,0.41,0.71,0.34
h2database.csv,0.16,1.0,0.44,0.76,0.44
jaql.csv,0.19,0.21,0.46,0.99,0.44
raven-monitoring.csv,0.12,0.09,1.0,0.4,0.39
