,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,2.0,2.0,1.0,0.0,69.0,13.0,0.0,8.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0
atlc.csv,1.0,5.0,3.0,6.0,1.0,34.0,1.0,4.0,1.0,0.0,3.0,13.0,0.0,12.0,1.0
ipfilter.csv,1.0,4.0,4.0,6.0,0.0,42.0,1.0,8.0,1.0,0.0,3.0,4.0,0.0,16.0,0.0
liferea.csv,0.0,3.0,5.0,0.0,0.0,39.0,2.0,6.0,0.0,0.0,7.0,2.0,0.0,18.0,0.0
miranda-icq.csv,16.0,6.0,3.0,6.0,0.0,47.0,1.0,13.0,1.0,0.0,8.0,7.0,0.0,22.0,1.0
opensim4opencog.csv,1.0,1.0,14.0,1.0,0.0,29.0,5.0,3.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0
pclasses.csv,0.0,4.0,2.0,3.0,0.0,12.0,3.0,7.0,63.0,0.0,0.0,201.0,0.0,10.0,1.0
pfaedit.csv,66.0,0.0,14.0,2.0,69.0,11.0,0.0,9.0,4.0,0.0,0.0,4.0,0.0,7.0,0.0
psrchive.csv,12.0,0.0,0.0,12.0,0.0,17.0,1.0,12.0,63.0,3.0,1.0,4.0,0.0,0.0,0.0
theresa.csv,10.0,1.0,5.0,0.0,1.0,12.0,0.0,0.0,63.0,0.0,12.0,8.0,0.0,6.0,1.0
thrust.csv,66.0,3.0,8.0,4.0,0.0,52.0,0.0,13.0,5.0,0.0,6.0,0.0,0.0,15.0,0.0
tktoolkit.csv,16.0,2.0,0.0,13.0,0.0,14.0,7.0,38.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0
tzod.csv,4.0,0.0,15.0,5.0,0.0,10.0,4.0,11.0,2.0,0.0,19.0,2.0,0.0,2.0,0.0
yaprm.csv,5.0,2.0,6.0,2.0,69.0,12.0,0.0,7.0,4.0,1.0,9.0,4.0,0.0,6.0,0.0
