,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.25,0.32,0.38,0.27,0.0,0.12,0.59,0.12,0.3,0.59,0.13,0.43,0.56,0.56,0.69
atlc.csv,0.21,0.32,0.24,0.42,0.83,0.1,0.49,0.25,0.43,0.4,0.18,0.42,0.77,0.36,0.6
ipfilter.csv,0.24,0.31,0.26,0.32,0.4,0.09,0.68,0.26,0.4,0.42,0.23,0.44,0.87,0.32,0.97
liferea.csv,0.38,0.57,0.32,0.56,0.51,0.13,0.6,0.31,0.13,0.58,0.14,0.44,0.64,0.15,0.61
miranda-icq.csv,0.28,0.51,0.33,0.39,0.74,0.11,0.29,0.21,0.38,0.51,0.18,0.45,0.83,0.35,0.64
opensim4opencog.csv,0.47,0.58,0.32,0.54,0.55,0.17,0.78,0.33,0.24,0.64,0.23,0.4,0.74,0.36,0.61
pclasses.csv,0.64,0.45,0.18,0.12,0.05,0.24,0.2,0.26,0.0,0.12,0.08,0.0,0.42,0.24,0.2
pfaedit.csv,0.0,0.52,0.29,0.42,0.0,0.24,0.8,0.15,0.09,0.67,0.31,0.07,0.66,0.24,0.2
psrchive.csv,0.14,0.39,0.57,0.3,0.73,0.1,0.54,0.2,0.0,0.56,0.23,0.41,0.75,0.32,0.62
theresa.csv,0.15,0.55,0.38,0.48,0.17,0.32,0.74,0.2,0.0,0.49,0.26,0.32,0.62,0.36,0.53
thrust.csv,0.0,0.29,0.15,0.26,0.47,0.0,0.53,0.15,0.43,0.39,0.18,0.16,0.45,0.3,0.49
tktoolkit.csv,0.16,0.49,0.26,0.31,0.59,0.2,0.77,0.21,0.46,0.49,0.43,0.41,0.88,0.34,0.83
tzod.csv,0.16,0.58,0.31,0.41,0.82,0.35,0.66,0.25,0.22,0.58,0.21,0.4,0.79,0.34,0.72
yaprm.csv,0.29,0.47,0.31,0.12,0.0,0.22,0.44,0.25,0.36,0.65,0.22,0.24,0.7,0.37,0.26
