,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.27,0.22,0.43,0.15,0.0,0.33,0.46,0.13,0.24,0.65,0.09,0.54,0.39,0.7,0.57
atlc.csv,0.45,0.26,0.5,0.85,0.83,0.67,0.44,0.7,0.94,0.41,0.7,0.63,0.63,0.8,0.48
ipfilter.csv,0.73,0.33,0.64,0.77,0.41,0.67,0.78,0.87,0.94,0.41,0.96,0.83,0.78,0.87,0.96
liferea.csv,0.91,0.63,0.71,0.77,0.37,1.0,0.54,0.48,0.12,0.59,0.35,0.56,0.47,0.2,0.5
miranda-icq.csv,0.73,0.59,0.79,1.0,1.0,1.0,0.2,0.87,0.71,0.51,0.26,0.58,0.71,0.7,0.5
opensim4opencog.csv,0.82,0.7,0.64,0.85,0.39,1.0,0.96,0.57,0.24,0.84,0.7,0.58,0.59,0.57,0.5
pclasses.csv,0.82,0.48,0.14,0.08,0.02,0.67,0.13,0.52,0.0,0.08,0.04,0.0,0.27,0.37,0.13
pfaedit.csv,0.0,0.41,0.5,0.38,0.0,0.67,0.76,0.17,0.06,0.81,0.35,0.04,0.49,0.27,0.11
psrchive.csv,0.18,0.3,0.71,0.62,0.98,0.33,0.52,0.52,0.0,0.59,0.74,0.9,0.6,0.4,0.61
theresa.csv,0.18,0.59,0.64,0.38,0.1,1.0,0.7,0.22,0.0,0.43,0.7,0.37,0.45,0.43,0.43
thrust.csv,0.0,0.22,0.21,0.23,0.32,0.0,0.46,0.48,0.47,0.35,0.22,0.15,0.29,0.63,0.41
tktoolkit.csv,0.27,0.81,0.64,0.69,0.54,0.67,0.89,0.74,0.76,0.49,0.57,0.96,0.8,0.73,0.98
tzod.csv,0.27,0.63,0.64,0.69,0.85,1.0,0.63,0.43,0.18,0.57,0.78,0.67,0.65,0.5,0.7
yaprm.csv,0.45,0.37,0.43,0.08,0.0,0.67,0.3,0.35,0.47,0.65,0.52,0.15,0.54,0.53,0.15
