,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.0,0.42,0.62,0.42,0.02,0.14,0.22,0.44,0.12,0.51,0.54,0.48,0.31,0.81,0.12,0.14,0.24,0.27,0.0
autofac.csv,0.5,0.68,0.25,0.0,0.35,0.36,0.2,0.46,0.12,0.27,0.23,0.08,0.31,0.29,0.16,0.25,0.17,0.29,0.1
avisynth2.csv,0.0,0.1,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.07,0.0,0.0
dsworkbench.csv,0.5,0.38,0.0,0.36,0.58,0.57,0.66,0.4,0.59,0.59,0.46,0.44,0.31,0.48,0.4,0.59,0.67,0.44,0.4
exist.csv,0.0,0.6,0.25,0.06,0.12,0.18,0.2,0.53,0.03,0.04,0.38,0.12,0.06,0.32,0.24,0.35,0.02,0.24,0.1
forester-atv.csv,0.0,0.02,0.19,0.0,0.06,0.21,0.0,0.06,0.03,0.12,0.08,0.08,0.12,0.08,0.04,0.0,0.07,0.2,0.1
freelords.csv,1.0,0.57,0.69,0.73,0.88,0.0,0.63,0.86,0.81,0.75,0.77,0.68,0.62,0.65,0.76,0.49,0.48,0.8,0.2
gephex.csv,0.0,0.3,0.88,0.52,0.44,0.18,0.34,0.57,0.38,0.46,0.38,0.8,0.75,0.47,0.4,0.47,0.3,0.02,0.0
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.94,1.0,1.0,1.0,0.96,1.0,1.0
java-gnome.csv,0.0,0.48,0.44,0.3,0.46,0.43,0.24,0.39,0.09,0.32,0.08,0.36,0.0,0.48,0.12,0.24,0.17,0.15,0.1
jpaul.csv,0.0,0.2,0.5,0.12,0.0,0.04,0.0,0.24,0.12,0.14,0.0,0.36,0.19,0.05,0.16,0.18,0.26,0.0,0.0
neodatis-odb.csv,0.5,0.65,0.31,0.36,0.21,0.43,0.37,0.0,0.25,0.27,0.38,0.4,0.25,0.24,0.44,0.39,0.52,0.34,0.7
octet.csv,1.0,0.72,0.56,0.21,0.1,0.68,0.2,0.83,0.44,0.56,0.62,0.16,0.19,0.45,0.76,0.0,0.83,0.27,0.3
personalaccess.csv,0.0,0.45,0.31,0.39,0.19,0.29,0.71,0.64,0.56,0.34,0.38,0.64,0.19,0.31,0.0,0.45,0.2,0.41,0.2
pokenetonline.csv,0.0,0.62,0.62,0.3,0.29,0.21,0.29,0.31,0.34,0.55,0.54,0.0,0.25,0.56,0.6,0.02,0.17,0.41,0.1
rcp-company-uibindings.csv,0.5,1.0,0.81,0.94,1.0,0.89,0.93,0.97,0.75,0.85,0.77,0.88,0.88,0.79,0.76,0.98,0.78,0.88,0.1
scenemonitor.csv,0.5,0.8,0.69,0.73,0.5,0.93,0.66,0.63,0.0,0.85,0.85,0.72,0.81,0.73,0.64,0.96,0.48,0.63,0.6
servicestack.csv,1.0,0.5,0.31,0.12,0.15,0.29,0.1,0.3,0.09,0.41,0.38,0.2,0.19,0.24,0.44,0.12,0.0,0.27,0.2
st-filteredstatistics.csv,0.0,0.78,0.44,0.45,0.62,0.5,0.61,0.43,0.19,0.6,0.0,0.28,0.62,0.44,0.28,0.27,0.17,0.63,0.4
