,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.86,0.98,0.84,0.81,0.1,0.7,0.8,0.85,0.66,0.71,0.76,0.68,0.55,0.81,0.82,0.87,0.43,0.6,0.76
autofac.csv,0.81,0.69,0.71,0.07,0.68,0.76,0.46,0.69,0.66,0.64,0.45,0.67,0.69,1.04,0.54,0.63,0.61,0.66,0.59
avisynth2.csv,0.99,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.92,0.95,1.0,0.0,0.99,1.0,0.88,1.0,0.99
dsworkbench.csv,0.66,0.82,0.0,0.78,0.68,0.69,0.78,0.57,0.84,0.65,0.71,0.77,0.4,0.82,0.69,0.65,0.86,0.6,0.68
exist.csv,0.9,0.64,0.76,0.66,0.83,0.69,0.56,0.74,0.85,0.04,0.64,0.61,0.95,0.74,0.62,0.8,0.94,0.75,0.64
forester-atv.csv,0.95,0.03,0.76,0.9,0.97,0.89,0.94,0.76,0.9,0.79,0.85,0.85,0.99,1.0,0.78,1.0,0.83,0.88,0.91
freelords.csv,1.02,0.87,0.69,0.75,0.91,0.0,0.68,0.96,0.82,0.79,0.8,0.7,0.7,0.65,0.79,0.65,0.53,0.85,0.42
gephex.csv,0.7,0.68,0.89,0.62,0.58,0.57,0.53,0.75,0.79,0.65,0.54,0.81,0.77,1.1,0.61,0.64,0.51,0.04,0.61
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.94,1.0,1.0,1.0,0.96,1.0,1.0
java-gnome.csv,0.9,0.66,0.63,0.72,0.76,0.8,0.75,0.73,0.9,0.69,0.7,0.62,0.04,0.82,0.59,0.62,0.78,0.8,0.71
jpaul.csv,0.72,0.79,0.77,0.63,1.0,1.0,0.06,0.85,0.47,0.83,0.87,0.73,0.97,1.0,0.74,0.74,0.75,1.0,0.72
neodatis-odb.csv,0.86,0.66,0.59,0.69,0.73,0.85,0.74,0.05,0.51,0.78,0.53,0.72,0.79,1.03,0.68,0.58,0.7,0.72,0.92
octet.csv,1.04,0.73,0.82,0.59,0.69,0.87,0.9,0.9,0.78,0.6,0.74,0.73,0.25,1.1,0.82,0.0,0.83,0.73,0.59
personalaccess.csv,0.55,0.49,0.66,0.55,0.66,0.67,0.71,0.75,0.66,0.53,0.48,0.66,0.85,0.45,0.01,0.62,0.46,0.73,0.54
pokenetonline.csv,0.44,0.67,0.71,0.57,0.71,0.68,0.76,0.72,0.57,0.73,0.65,0.0,0.96,0.87,0.63,0.71,0.73,0.77,0.64
rcp-company-uibindings.csv,0.52,1.0,0.81,0.94,1.0,0.89,0.93,0.97,0.75,0.86,0.77,0.88,0.99,0.79,0.77,0.99,0.82,0.89,0.1
scenemonitor.csv,0.53,0.8,0.7,0.73,0.63,0.94,0.67,0.65,0.05,0.88,0.86,0.74,0.81,0.73,0.68,0.96,0.53,0.73,0.66
servicestack.csv,1.21,0.65,0.73,0.7,0.78,0.86,0.65,0.69,0.76,0.7,0.64,0.52,0.97,0.41,0.74,1.01,0.06,0.87,0.71
st-filteredstatistics.csv,0.61,0.78,0.65,0.64,0.68,0.75,0.77,0.63,0.44,0.76,0.03,0.62,0.74,0.55,0.54,0.51,0.56,0.73,0.6
