,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.38,0.54,0.59,0.39,0.46,0.55,0.57,0.48,0.43,0.41,0.52,0.44,0.89,0.46
encog-cs.csv,0.31,0.43,0.58,0.39,0.39,0.4,0.39,0.55,0.53,0.73,0.48,0.46,0.33,0.38
extprosys.csv,0.43,0.44,0.61,0.37,0.35,0.41,0.7,0.51,0.37,0.39,0.48,0.49,0.69,0.48
intact.csv,0.41,0.44,0.62,0.47,0.41,0.56,0.89,0.42,0.43,0.4,0.4,0.56,0.48,0.6
japano.csv,0.38,0.46,0.57,0.39,0.42,0.41,0.38,0.54,0.36,0.46,0.48,0.45,0.36,0.42
lockss.csv,0.65,0.4,0.94,0.91,0.67,0.91,0.7,0.43,0.93,0.43,0.51,0.64,0.0,0.88
officefloor.csv,0.51,0.7,0.63,0.47,0.81,0.67,0.0,0.4,0.65,0.71,0.53,0.75,0.5,0.36
opennms.csv,0.5,0.5,0.86,0.92,0.64,0.88,0.43,0.9,0.87,0.69,0.94,0.7,0.83,0.0
primefaces.csv,0.39,0.39,0.47,0.35,0.35,0.37,0.38,0.45,0.36,0.38,0.45,0.4,0.45,0.29
rohxel.csv,0.42,0.56,0.57,0.66,0.73,0.75,0.39,0.64,0.94,0.93,0.84,0.82,0.35,0.0
roolo.csv,0.42,0.53,0.53,0.45,0.39,0.41,0.65,0.64,0.6,0.54,0.5,0.76,0.33,0.43
sevenupdate.csv,0.31,0.61,0.47,0.35,0.38,0.33,0.37,0.47,0.37,0.64,0.45,0.4,0.33,0.32
web-cat.csv,0.36,0.68,0.5,0.4,0.4,0.39,0.4,0.54,0.36,0.47,0.51,0.5,0.55,0.58
