,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.09,0.25,0.56,0.13,0.0,0.21,0.81,0.47,0.55,0.0
critterding.csv,0.56,0.64,0.61,0.46,0.2,0.61,0.54,0.45,0.64,0.69
enlightenment.csv,0.67,0.0,0.0,0.64,0.0,0.17,0.0,0.62,0.39,0.0
exordium.csv,0.01,0.51,0.76,0.01,0.6,0.64,0.0,0.45,0.31,0.22
google-caja.csv,0.62,0.62,0.63,0.58,0.46,0.83,0.74,0.09,0.72,0.72
itext.csv,0.64,0.42,0.68,0.53,0.72,0.0,0.68,0.49,0.7,0.77
lockss.csv,0.1,0.25,0.72,0.3,0.57,0.57,0.52,0.37,0.13,0.59
modplug.csv,0.51,0.62,0.72,0.58,0.5,0.7,0.67,0.21,0.77,0.75
reactos-mirror.csv,0.63,0.7,0.54,0.56,0.59,0.69,0.0,0.3,0.69,0.72
yafdotnet.csv,0.38,0.52,0.6,0.36,0.36,0.61,0.3,0.74,0.5,0.7
