,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.02,0.05,0.3,0.01,0.0,0.15,0.12,0.71,0.54,0.03
critterding.csv,0.52,0.27,0.75,0.48,0.95,0.48,0.8,0.85,0.38,0.63
enlightenment.csv,0.4,1.0,1.0,0.33,1.0,0.96,1.0,0.26,0.88,1.0
exordium.csv,0.0,0.24,0.16,0.0,0.6,0.15,0.0,0.09,0.12,0.03
google-caja.csv,0.56,0.59,0.52,0.29,0.85,0.26,0.27,0.98,0.38,0.23
itext.csv,0.55,0.24,0.68,0.23,0.64,1.0,0.33,0.83,0.17,0.2
lockss.csv,0.04,0.05,0.09,0.09,0.32,0.22,0.06,0.06,0.12,0.23
modplug.csv,0.79,0.63,0.66,0.74,0.82,0.59,0.69,0.95,0.21,0.3
reactos-mirror.csv,0.25,0.41,0.8,0.19,0.39,0.44,1.0,0.08,0.42,0.63
yafdotnet.csv,0.34,0.51,0.32,0.14,0.89,0.74,0.06,0.26,0.12,0.2
