,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.13,0.33,0.43,0.2,0.0,0.29,0.75,0.44,0.64,0.0
critterding.csv,0.5,0.64,0.46,0.51,0.3,0.71,0.47,0.58,0.72,0.72
enlightenment.csv,0.61,0.62,0.4,0.68,0.32,0.86,0.44,0.61,0.77,0.69
exordium.csv,0.02,0.53,0.67,0.03,0.33,0.73,0.0,0.52,0.41,0.29
google-caja.csv,0.55,0.59,0.43,0.62,0.35,0.87,0.61,0.59,0.78,0.74
itext.csv,0.57,0.46,0.48,0.6,0.41,0.85,0.54,0.6,0.77,0.79
lockss.csv,0.14,0.33,0.7,0.39,0.38,0.66,0.58,0.45,0.19,0.63
modplug.csv,0.53,0.59,0.51,0.7,0.34,0.82,0.51,0.59,0.82,0.75
reactos-mirror.csv,0.62,0.66,0.44,0.63,0.37,0.78,0.44,0.38,0.76,0.75
yafdotnet.csv,0.37,0.49,0.46,0.44,0.31,0.85,0.37,0.7,0.6,0.73
