,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.72,0.76,0.83,0.1,0.29,0.05,0.63,0.4,0.07,0.2,0.39
avisynth2.csv,0.91,0.0,1.0,0.5,0.67,0.6,0.0,0.0,0.0,0.0,0.0
coot.csv,1.0,0.53,0.69,0.3,0.38,0.0,0.6,0.67,0.03,0.72,0.38
dsworkbench.csv,0.89,0.88,1.0,0.4,0.5,0.0,1.0,0.31,0.07,0.38,0.23
freelords.csv,0.81,0.54,0.81,0.46,0.44,0.05,0.63,0.63,0.07,0.54,0.36
gephex.csv,0.76,0.55,0.8,0.3,0.42,0.0,0.79,0.53,0.05,0.54,0.38
jas.csv,0.62,0.55,0.7,0.33,0.29,0.14,0.6,0.64,0.33,0.47,0.31
jpaul.csv,0.76,1.0,0.76,0.6,0.44,0.06,1.0,0.55,0.11,0.33,0.2
ngl.csv,0.76,0.53,0.74,0.29,0.4,0.08,0.6,0.69,0.08,0.65,0.38
scenemonitor.csv,0.79,0.65,0.89,0.62,0.75,0.0,0.64,0.57,0.06,0.39,0.18
synecdoche.csv,0.77,0.7,0.79,0.36,0.36,0.0,0.7,0.44,0.02,0.68,0.66
