,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.39,0.57,0.59,0.14,0.23,0.09,0.0,0.27,0.58,0.02,0.0
avisynth2.csv,0.24,0.0,0.04,0.15,0.12,0.99,0.0,0.0,0.0,0.0,0.0
coot.csv,0.02,0.36,0.48,0.35,0.51,0.0,0.5,0.53,0.35,0.72,0.52
dsworkbench.csv,0.78,0.15,0.12,0.15,0.24,0.0,0.22,0.12,0.15,0.1,0.12
freelords.csv,0.66,0.51,0.61,0.73,0.63,0.43,0.34,0.68,0.47,0.54,0.45
gephex.csv,0.0,0.44,0.67,0.57,0.55,0.0,0.7,0.48,0.4,0.38,0.0
jas.csv,0.19,0.51,0.44,0.39,0.23,0.69,0.38,0.63,0.97,0.4,0.34
jpaul.csv,0.39,0.04,0.19,0.85,0.44,0.37,0.01,0.18,0.71,0.02,0.04
ngl.csv,0.24,0.33,0.57,0.46,0.58,0.67,0.33,0.63,0.61,0.73,0.52
scenemonitor.csv,0.63,0.5,0.44,0.63,0.77,0.0,0.44,0.59,0.29,0.25,0.09
synecdoche.csv,0.58,0.36,0.66,0.5,0.52,0.0,0.49,0.26,0.14,0.52,0.68
