,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.77,0.45,0.68,0.28,0.72,0.24,0.0,0.34,0.54,0.56
clamav.csv,0.64,0.46,0.7,0.23,0.78,0.18,0.0,0.68,0.63,0.59
dvd-create.csv,0.64,0.39,0.74,0.31,0.86,0.36,0.0,0.61,0.6,0.53
gbif-indexingtoolkit.csv,0.79,0.35,0.07,0.27,0.0,0.4,0.0,0.27,0.35,0.27
go.csv,0.76,0.39,0.78,0.39,0.48,0.26,0.0,0.36,0.58,0.65
kwave.csv,0.75,0.38,0.78,0.4,0.88,0.32,0.38,0.44,0.68,0.57
libarchive.csv,0.76,0.47,0.78,0.36,0.73,0.29,0.34,0.56,0.62,0.65
liferea.csv,0.7,0.53,0.7,0.26,0.73,0.25,0.34,0.44,0.52,0.57
linux-ntfs.csv,0.65,0.41,0.61,0.31,0.82,0.3,0.29,0.52,0.68,0.62
mpgravity.csv,0.79,0.38,0.71,0.29,0.72,0.25,0.55,0.54,0.58,0.63
