,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.68,0.63,0.0,0.51,0.0,0.41,0.41,0.75,0.29,0.48
haphazard.csv,0.56,0.28,0.66,0.41,0.57,0.4,0.39,0.34,0.56,0.48
jicarilla.csv,0.04,0.0,0.88,0.0,0.0,0.0,0.06,0.47,0.0,0.0
ondex.csv,0.55,0.31,0.0,0.57,0.69,0.06,0.0,0.11,0.58,0.6
optalgtoolkit.csv,0.51,0.51,0.3,0.59,0.64,0.69,0.49,0.37,0.38,0.52
ossim.csv,0.27,0.28,0.28,0.79,0.0,0.41,0.49,0.36,0.34,0.59
projectts.csv,0.66,0.52,0.07,0.53,0.41,0.38,0.67,0.06,0.5,0.53
sabbu.csv,0.74,0.55,0.11,0.57,0.73,0.0,0.45,0.13,0.53,0.68
vxl.csv,0.54,0.53,0.07,0.58,0.4,0.45,0.35,0.17,0.68,0.4
zact.csv,0.48,0.06,0.21,0.42,0.72,0.0,0.53,0.27,0.18,0.38
