,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.78,0.76,0.0,0.88,0.86,0.89,0.38,0.77,0.85,0.82
haphazard.csv,0.67,0.24,0.76,0.38,0.57,0.37,0.35,0.73,0.54,0.58
jicarilla.csv,0.03,0.0,0.91,0.0,0.0,0.0,0.05,0.52,0.0,0.0
ondex.csv,0.5,0.27,0.0,0.56,0.71,0.05,0.0,0.09,0.54,0.58
optalgtoolkit.csv,0.48,0.49,0.27,0.62,0.71,0.68,0.49,0.91,0.38,0.52
ossim.csv,0.24,0.24,0.24,0.81,0.0,0.37,0.51,0.84,0.31,0.73
projectts.csv,0.71,0.54,0.06,0.56,0.86,0.74,0.7,0.05,0.54,0.61
sabbu.csv,0.74,0.57,0.09,0.56,0.86,0.0,0.43,0.11,0.54,0.76
vxl.csv,0.52,0.51,0.06,0.56,0.43,0.68,0.3,0.14,0.77,0.39
zact.csv,0.5,0.05,0.18,0.38,0.71,0.0,0.57,0.23,0.15,0.33
