,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.77,0.46,0.44,0.55,0.54,0.89,0.0,0.11,0.27,0.17,0.6
linux-ntfs.csv,0.62,0.5,0.19,0.12,0.52,0.61,0.01,0.05,0.62,0.22,0.59
olap-navigator.csv,0.98,0.54,0.66,0.55,0.69,0.78,0.02,0.13,0.14,0.39,0.48
phonon-vlc-mplayer.csv,1.0,0.7,0.64,0.29,0.6,0.72,0.02,0.26,0.19,0.7,0.49
qgis.csv,0.86,0.68,0.52,0.0,1.0,0.63,0.01,0.12,0.23,0.34,0.44
qse.csv,0.97,0.71,0.49,1.0,0.76,0.73,0.01,0.13,0.16,0.28,0.0
rebecca-aiml.csv,0.63,0.51,0.22,0.18,0.46,0.6,0.02,0.06,0.7,0.21,0.47
roller.csv,0.81,0.52,0.28,0.19,0.7,0.82,0.01,0.09,0.28,0.29,0.47
xapian.csv,0.82,0.64,0.38,0.25,0.59,0.62,0.01,0.09,0.17,0.47,0.6
zoolib.csv,0.97,0.69,0.67,1.0,1.0,0.75,0.0,0.2,0.21,0.58,0.48
