,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.71,0.69,0.15,0.63,0.64,0.74,0.62,0.44,0.51,0.68,0.72,0.65,0.64,0.73
autowikibrowser.csv,0.79,0.61,0.41,0.65,0.63,0.57,0.69,0.65,0.59,0.56,0.67,0.7,0.67,0.62
cities3d.csv,0.42,0.05,0.15,0.58,0.31,0.7,0.01,0.41,0.0,0.26,0.27,0.5,0.05,0.02
kmatplot.csv,0.81,0.14,0.6,0.59,0.42,0.71,0.3,0.38,0.0,0.39,0.62,0.46,0.11,0.46
libarchive.csv,0.69,0.49,0.76,0.63,0.53,0.6,0.7,0.7,0.64,0.54,0.65,0.74,0.63,0.64
lphant.csv,0.68,0.64,0.6,0.62,0.63,0.67,0.66,0.63,0.5,0.55,0.66,0.76,0.64,0.64
mob-sen-plat.csv,0.68,0.52,0.8,0.53,0.6,0.65,0.64,0.68,0.51,0.4,0.63,0.4,0.5,0.59
mscore.csv,0.57,0.39,0.7,0.49,0.21,0.66,0.68,0.68,0.59,0.58,0.59,0.69,0.58,0.67
pidgin.csv,0.56,0.6,0.5,0.64,0.56,0.65,0.71,0.64,0.62,0.65,0.59,0.53,0.49,0.62
quickfast.csv,0.54,0.63,0.62,0.47,0.47,0.45,0.49,0.63,0.68,0.47,0.33,0.24,0.74,0.67
raygina.csv,0.65,0.72,0.0,0.39,0.35,0.52,0.56,0.64,0.25,0.51,0.55,0.66,0.4,0.0
riff-evolve.csv,0.7,0.48,0.11,0.66,0.62,0.72,0.64,0.46,0.33,0.68,0.68,0.61,0.62,0.42
upp-mirror.csv,0.5,0.42,0.28,0.53,0.72,0.17,0.38,0.55,0.25,0.47,0.26,0.51,0.47,0.28
wishmaster.csv,0.52,0.32,0.11,0.49,0.57,0.57,0.23,0.54,0.78,0.3,0.5,0.44,0.49,0.12
