,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.28,0.51,1.0,0.51,0.69,0.18,0.76,0.83,0.2,0.63,0.51,0.59,0.65,0.59
autowikibrowser.csv,0.35,0.43,0.8,0.42,0.65,0.09,0.83,0.75,0.21,0.52,0.67,0.67,0.66,0.66
cities3d.csv,0.27,0.33,0.8,0.39,0.65,0.18,0.33,0.8,0.0,0.67,0.62,0.83,1.0,1.0
kmatplot.csv,0.43,0.33,0.67,0.38,0.62,0.13,0.88,0.65,0.0,0.59,0.44,0.49,0.67,0.77
libarchive.csv,0.24,0.41,0.79,0.41,0.62,0.11,0.78,0.75,0.24,0.58,0.47,0.59,0.65,0.7
lphant.csv,0.38,0.42,0.76,0.47,0.66,0.15,0.81,0.77,0.18,0.57,0.61,0.62,0.73,0.67
mob-sen-plat.csv,0.25,0.37,0.84,0.37,0.64,0.24,0.84,0.68,0.2,0.48,0.47,0.48,0.88,0.6
mscore.csv,0.21,0.38,0.7,0.38,0.61,0.17,0.81,0.77,0.21,0.54,0.42,0.56,0.61,0.49
pidgin.csv,0.19,0.4,0.67,0.43,0.61,0.12,0.84,0.71,0.22,0.56,0.44,0.55,0.72,0.5
quickfast.csv,0.25,0.41,0.67,0.47,0.6,0.08,0.74,0.64,0.24,0.48,0.41,0.44,0.81,0.49
raygina.csv,0.28,0.6,0.0,0.51,0.62,0.11,0.83,0.68,0.21,0.63,0.43,0.51,0.55,0.42
riff-evolve.csv,0.3,0.46,1.0,0.47,0.71,0.19,0.9,0.85,0.16,0.73,0.58,0.62,0.78,0.78
upp-mirror.csv,0.22,0.33,0.73,0.39,0.79,0.06,0.76,0.64,0.16,0.53,0.31,0.52,0.62,0.46
wishmaster.csv,0.32,0.44,0.43,0.38,0.69,0.1,0.94,0.7,0.41,0.42,0.77,0.71,0.78,1.0
