,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.41,0.76,0.33,0.33,0.64,0.39,0.47,0.96,0.33,0.64,0.72,0.8,0.4,0.36,0.5,0.42,0.44
bionote.csv,0.93,0.83,0.8,0.91,0.5,0.82,0.8,0.94,0.86,0.9,0.0,0.0,0.88,0.93,0.79,0.89,0.0
bullet.csv,0.42,0.38,0.27,0.32,0.43,0.57,0.41,0.49,0.47,0.44,0.69,0.0,0.55,0.53,0.36,0.39,0.46
dxengine.csv,0.74,0.94,0.75,0.55,0.52,0.52,0.71,0.7,0.67,0.79,0.73,0.75,0.62,0.65,0.71,0.61,0.65
emono.csv,0.39,0.53,0.41,0.37,0.5,0.47,0.42,0.48,0.44,0.51,0.53,0.58,0.39,0.43,0.38,0.38,0.53
findbugs.csv,0.84,0.9,0.85,0.71,0.53,0.6,0.51,0.68,0.83,0.55,0.69,0.48,0.62,0.68,0.67,0.43,0.85
hazelcast.csv,0.31,0.35,0.28,0.27,0.38,0.35,0.35,0.42,0.31,0.3,0.35,0.39,0.37,0.3,0.3,0.31,0.43
jedit.csv,0.48,0.95,0.48,0.34,0.58,0.55,0.72,0.59,0.38,0.58,0.89,0.88,0.47,0.37,0.62,0.47,0.72
jmonkeyengine.csv,0.96,0.65,0.9,0.77,0.54,0.88,0.62,0.45,0.78,0.93,0.61,0.58,0.64,0.92,0.93,0.57,0.59
kolmafia.csv,0.46,0.47,0.31,0.31,0.4,0.45,0.31,0.41,0.31,0.42,0.43,0.55,0.43,0.42,0.38,0.43,0.47
lamp.csv,0.93,0.92,0.89,0.75,0.5,0.58,0.53,0.46,0.88,0.67,0.92,0.7,0.62,0.58,0.89,0.58,0.59
lcfizvtop.csv,0.42,0.5,0.64,0.36,0.74,0.8,0.81,0.67,0.73,0.49,0.54,0.75,0.75,0.34,0.87,0.8,0.66
onotoa.csv,0.47,0.93,0.45,0.31,0.45,0.49,0.4,0.42,0.53,0.4,0.7,0.46,0.48,0.88,0.51,0.74,0.46
openintents.csv,0.45,0.4,0.46,0.52,0.85,0.42,0.89,0.86,0.4,0.57,0.68,0.91,0.52,0.51,0.41,0.48,0.97
qlc.csv,0.94,0.85,0.9,0.83,0.86,0.65,0.84,0.94,0.0,0.88,0.85,0.8,0.75,0.91,0.92,0.9,0.93
triplea.csv,0.38,0.48,0.4,0.27,0.4,0.4,0.43,0.54,0.41,0.47,0.45,0.57,0.44,0.37,0.5,0.34,0.58
