,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.42,0.74,0.61,0.68,0.55,0.38,0.72,0.85,0.8,0.72,0.0,0.82,0.75,0.63,0.8,0.55,0.96
bionote.csv,0.84,0.93,0.72,0.85,1.0,0.8,0.94,0.78,0.89,0.9,0.96,1.0,0.0,0.77,0.73,0.84,1.0
bullet.csv,0.58,0.81,0.91,0.69,0.79,0.66,0.01,0.71,0.76,0.9,0.41,1.0,0.8,0.67,0.92,1.03,0.83
dxengine.csv,0.69,0.58,0.77,0.96,0.08,0.67,0.73,0.98,0.65,0.84,0.75,0.75,0.8,0.64,0.86,0.69,0.61
emono.csv,0.82,0.71,0.84,0.83,0.61,0.93,0.87,0.79,0.73,0.58,0.78,0.88,0.86,0.79,0.85,1.02,0.04
findbugs.csv,0.69,0.67,0.66,0.88,0.67,0.74,0.57,0.57,0.71,0.65,0.77,0.76,0.55,0.73,0.04,1.08,0.81
hazelcast.csv,0.63,0.86,0.78,0.91,0.88,0.0,0.91,0.97,0.75,1.01,0.75,0.96,0.86,0.72,0.9,0.07,1.0
jedit.csv,0.05,0.8,0.5,0.75,0.46,0.88,0.68,0.76,0.48,0.68,0.72,0.83,0.46,0.55,0.77,0.45,0.78
jmonkeyengine.csv,0.78,0.62,0.79,0.77,0.42,0.8,0.71,0.61,0.0,0.92,0.9,0.76,0.64,0.75,0.65,1.13,0.58
kolmafia.csv,0.49,0.53,0.75,0.62,0.54,0.47,0.61,0.78,0.77,0.85,0.5,0.65,0.61,0.04,0.72,0.48,0.7
lamp.csv,0.75,0.21,0.75,0.96,0.63,0.65,0.61,0.5,0.84,0.79,0.94,0.56,0.43,0.64,0.79,0.67,0.71
lcfizvtop.csv,0.56,0.93,0.67,0.73,0.57,0.82,0.8,0.78,0.93,0.65,0.49,0.02,0.52,0.75,0.89,0.91,0.78
onotoa.csv,0.74,0.93,0.76,0.93,0.8,0.86,0.82,0.61,0.89,0.06,0.64,0.83,1.01,0.9,0.59,0.67,0.94
openintents.csv,0.8,1.0,0.86,0.0,0.91,0.47,0.8,0.85,0.83,0.88,0.72,0.84,0.44,0.87,0.87,0.47,0.79
qlc.csv,0.74,0.72,0.79,0.91,0.79,0.75,0.8,0.06,1.0,0.89,0.85,0.91,0.4,0.81,0.76,0.83,0.84
triplea.csv,0.59,0.47,0.06,0.88,0.52,0.36,0.63,0.58,0.68,0.71,0.46,0.66,0.7,0.88,0.78,0.4,0.57
