,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.77,0.29,0.69,0.7,0.48,0.64,0.39,0.17,0.5,0.32,1.0,0.18,0.75,0.77,0.29,0.45,0.85
bionote.csv,0.16,0.07,0.28,0.17,0.0,0.2,0.06,0.22,0.11,0.11,0.04,0.0,1.0,0.23,0.29,0.16,0.0
bullet.csv,0.74,0.79,0.94,0.83,0.93,0.47,0.99,0.56,0.39,0.77,0.72,0.0,0.38,0.47,0.68,0.74,0.81
dxengine.csv,0.33,0.43,0.25,0.17,0.93,0.4,0.3,0.06,0.39,0.2,0.32,0.27,0.25,0.36,0.18,0.31,0.41
emono.csv,0.82,0.71,0.66,0.61,0.7,0.76,0.87,0.83,0.89,0.62,0.76,0.45,0.75,0.68,0.71,0.79,0.96
findbugs.csv,0.34,0.36,0.34,0.17,0.59,0.38,0.58,0.61,0.33,0.36,0.32,0.73,0.62,0.3,0.96,0.59,0.2
hazelcast.csv,0.92,0.86,0.84,0.96,0.96,1.0,0.94,0.83,0.72,0.85,0.76,1.0,0.88,0.91,0.75,0.93,1.0
jedit.csv,0.95,0.21,0.56,0.61,0.63,0.47,0.36,0.33,0.67,0.43,0.28,0.18,0.88,0.64,0.29,0.55,0.35
jmonkeyengine.csv,0.23,0.64,0.22,0.26,0.78,0.25,0.48,0.67,1.0,0.14,0.28,0.36,0.5,0.26,0.36,0.47,0.51
kolmafia.csv,0.59,0.64,0.66,0.65,0.81,0.53,0.78,0.83,0.78,0.5,0.72,0.45,0.75,0.96,0.57,0.52,0.64
lamp.csv,0.25,0.79,0.25,0.04,0.41,0.35,0.42,0.61,0.17,0.22,0.08,0.45,0.62,0.38,0.21,0.33,0.3
lcfizvtop.csv,0.64,0.07,0.34,0.65,0.44,0.18,0.21,0.28,0.11,0.43,0.8,1.0,0.5,0.79,0.14,0.09,0.25
onotoa.csv,0.67,0.07,0.56,0.78,0.96,0.67,0.87,0.89,0.44,1.0,0.64,0.82,0.38,0.11,0.71,0.33,0.88
openintents.csv,0.48,1.0,0.41,1.0,0.19,0.55,0.3,0.28,0.56,0.27,0.36,0.18,0.75,0.55,0.46,0.53,0.25
qlc.csv,0.26,0.36,0.22,0.13,0.22,0.27,0.22,0.94,0.0,0.11,0.16,0.09,0.62,0.19,0.25,0.17,0.16
triplea.csv,0.8,0.79,0.94,0.96,0.74,0.8,0.64,0.78,0.72,0.45,0.92,0.45,0.62,0.74,0.36,0.6,0.55
