,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.69,0.25,0.4,0.4,0.64,0.34,0.29,0.46,0.7,0.52,0.14,0.07,0.52
e-bio-flow.csv,0.34,0.42,0.66,0.52,0.78,0.26,0.48,0.69,0.0,0.5,0.58,0.27,0.0
jas.csv,0.35,0.71,0.1,0.6,0.61,0.2,0.32,0.46,0.79,0.22,0.42,0.58,0.97
jbpm.csv,0.14,0.17,0.0,0.77,0.0,0.11,0.0,0.24,0.0,0.11,0.0,0.01,0.0
jgossipforum.csv,0.4,0.61,0.18,0.2,0.0,0.56,0.26,0.43,0.99,0.41,0.72,0.57,0.0
jmonkeyengine.csv,0.43,0.69,0.18,0.63,0.28,0.61,0.64,0.48,0.4,0.29,0.52,0.64,0.33
joustsim.csv,0.4,0.48,0.35,0.72,0.37,0.51,0.68,0.43,0.93,0.91,0.51,0.7,0.74
log4net.csv,0.56,0.21,0.64,0.27,0.97,0.2,0.0,0.48,0.0,0.73,0.43,0.23,0.0
ngl.csv,0.45,0.68,0.61,0.64,0.45,0.36,0.47,0.57,0.57,0.7,0.63,0.67,0.7
piccolo2d.csv,0.49,0.59,0.87,0.37,0.7,0.16,0.37,0.51,0.0,0.58,0.15,0.29,0.0
pustefix.csv,0.14,0.57,0.57,0.59,0.33,0.67,0.69,0.45,0.56,0.11,0.28,0.59,0.13
reaper3d.csv,0.34,0.68,0.18,0.3,0.0,0.42,0.26,0.53,0.64,0.21,0.82,0.38,0.43
sblim.csv,0.29,0.81,0.57,0.36,0.0,0.66,0.32,0.54,0.0,0.67,0.14,0.49,0.0
