,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.46,1.08,0.91,0.89,0.57,0.92,0.93,0.82,0.57,0.73,0.9,0.95,0.81
e-bio-flow.csv,0.79,0.79,0.54,0.78,0.59,0.79,0.58,0.41,1.0,0.57,0.66,0.78,1.0
jas.csv,0.77,0.45,0.93,0.53,0.65,0.83,0.73,0.7,0.57,0.82,0.71,0.56,0.14
jbpm.csv,0.89,0.86,1.0,0.28,1.0,0.91,1.0,0.81,1.0,0.93,1.0,0.99,1.01
jgossipforum.csv,0.82,0.5,0.85,0.86,1.02,0.65,0.81,0.69,0.07,0.64,0.6,0.53,1.0
jmonkeyengine.csv,0.89,0.61,0.95,0.67,1.05,0.75,0.46,0.8,0.86,0.96,0.78,0.69,1.0
joustsim.csv,0.81,0.84,0.74,0.41,0.75,0.82,0.58,0.7,0.26,0.12,0.82,0.58,0.4
log4net.csv,0.61,0.82,0.48,0.79,0.12,0.84,1.0,0.71,1.0,0.38,0.64,0.84,1.01
ngl.csv,0.87,0.58,0.76,0.74,0.86,0.9,0.64,0.78,0.65,0.47,0.72,0.45,0.62
piccolo2d.csv,0.75,0.5,0.28,0.72,0.36,0.88,0.71,0.58,1.0,0.51,0.88,0.76,1.0
pustefix.csv,0.9,0.63,0.76,0.61,0.93,0.41,0.57,0.72,0.69,0.92,0.88,0.63,0.98
reaper3d.csv,0.8,0.44,0.9,0.95,1.03,0.85,0.82,0.74,0.68,0.83,0.37,0.68,0.63
sblim.csv,0.81,0.28,0.52,0.69,1.0,0.56,0.74,0.73,1.01,0.4,0.95,0.83,1.01
