,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.2,0.48,0.56,0.45,0.73,0.02,0.53,0.85,0.45,0.55,0.57,0.5,0.58
echongl.csv,0.2,0.63,0.4,0.44,0.87,0.03,0.53,0.85,0.41,0.42,0.5,0.35,0.38
les-indemodables.csv,0.2,0.56,0.42,0.43,0.66,0.02,0.5,0.82,0.51,0.6,0.5,0.44,0.58
mbse.csv,0.22,0.45,0.35,0.48,0.55,0.0,0.49,0.34,0.58,0.5,0.5,0.52,0.43
ns-3-dev-def-routing.csv,0.19,0.61,0.42,0.4,0.73,0.05,0.58,0.8,0.37,0.56,0.35,0.44,0.8
psycle.csv,0.22,0.7,0.5,0.43,0.8,0.02,0.59,0.88,0.53,0.54,0.59,0.54,0.67
qpe.csv,0.27,0.38,0.38,0.48,0.36,0.0,0.47,0.54,0.39,0.13,0.41,0.48,0.49
simplewebservices.csv,0.14,0.79,0.39,0.4,0.83,0.02,0.57,0.9,0.63,0.53,0.63,0.52,0.84
v8.csv,0.15,0.52,0.32,0.42,0.84,0.0,0.49,0.92,0.61,0.36,0.58,0.16,0.8
wikipediardware.csv,0.22,0.6,0.44,0.4,0.8,0.02,0.53,0.76,0.62,0.57,0.57,0.54,0.85
wxstudio.csv,0.16,0.25,0.25,0.17,0.3,0.03,0.34,0.34,0.66,0.26,0.06,0.43,0.62
xamj.csv,0.19,0.72,0.26,0.4,0.63,0.03,0.5,0.5,0.48,0.43,0.44,0.63,0.58
