,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.51,0.71,0.52,0.84,0.36,0.4,0.52,0.47,0.5,0.53,0.42,0.6,0.67
echongl.csv,0.54,0.54,0.4,0.37,0.37,0.58,0.46,0.49,0.52,0.93,0.44,0.7,0.78
les-indemodables.csv,0.52,0.54,0.44,0.41,0.4,0.4,0.38,0.49,0.51,0.52,0.64,0.64,0.62
mbse.csv,0.55,0.58,0.47,0.42,0.41,0.41,0.46,0.65,0.38,0.54,0.49,0.48,0.69
ns-3-dev-def-routing.csv,0.57,0.66,0.4,0.36,0.48,0.63,0.55,0.49,0.64,0.52,0.97,0.48,0.43
psycle.csv,0.48,0.47,0.38,0.36,0.3,0.4,0.42,0.44,0.42,0.49,0.36,0.49,0.5
qpe.csv,0.56,0.65,0.64,0.37,0.96,0.89,0.68,0.48,0.5,0.88,0.5,0.65,0.67
simplewebservices.csv,0.49,0.49,0.37,0.36,0.29,0.35,0.41,0.46,0.47,0.48,0.44,0.44,0.42
v8.csv,0.69,0.71,0.63,0.38,0.29,0.64,0.51,0.48,0.53,0.67,0.39,0.83,0.45
wikipediardware.csv,0.48,0.47,0.33,0.36,0.3,0.36,0.41,0.38,0.36,0.52,0.35,0.42,0.48
wxstudio.csv,0.68,0.95,0.6,0.98,0.79,0.43,0.72,0.69,0.44,0.84,0.83,0.59,0.63
xamj.csv,0.47,0.45,0.8,0.37,0.45,0.4,0.44,0.53,0.34,0.64,0.58,0.48,0.48
