,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.17,0.3,0.34,0.12,1.0,0.1,0.33,0.33,0.29,0.29,0.32,0.17,0.25,0.36,0.17,0.34,0.16,0.17,0.45
autofac.csv,0.48,0.5,0.57,0.98,0.51,0.43,0.72,0.54,0.54,0.84,0.23,0.7,0.63,0.61,0.47,0.81,0.64,0.57,0.29
avisynth2.csv,0.01,0.05,0.02,0.0,0.0,0.0,0.07,0.0,0.18,0.0,0.0,0.11,0.02,1.0,0.0,0.0,0.02,0.02,0.0
azureus.csv,0.18,0.61,0.48,0.46,0.15,0.1,0.28,0.36,0.18,0.54,0.34,0.98,0.24,0.0,0.33,0.39,0.38,0.49,0.28
dsworkbench.csv,0.75,0.56,1.0,0.5,0.56,0.53,0.67,0.47,0.6,0.62,0.33,0.57,0.59,0.51,0.43,0.32,0.58,0.63,0.64
forester-atv.csv,0.13,1.0,0.17,0.12,0.12,0.07,0.15,0.23,0.29,0.15,0.0,0.24,0.09,0.0,0.0,0.15,0.14,0.15,0.29
freelords.csv,0.68,0.47,0.52,0.58,0.42,0.98,0.53,0.55,0.66,0.57,0.52,0.24,0.62,0.8,0.6,0.45,0.51,0.66,0.28
gabel.csv,0.0,0.0,0.1,0.0,0.0,0.01,0.07,0.04,0.0,1.0,0.0,0.09,0.09,0.0,0.34,0.05,0.06,0.06,0.0
geotools.csv,0.22,0.53,0.3,0.44,0.26,0.19,0.21,0.37,0.18,0.42,0.12,0.4,0.27,0.0,0.0,0.18,0.97,0.27,0.29
google-collections.csv,1.0,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.13,0.0,0.09,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.24,0.38,0.62,0.43,0.38,0.24,0.95,0.34,0.18,0.73,0.0,0.68,0.53,0.0,0.33,0.64,0.45,0.28,0.15
mycila.csv,0.02,0.36,0.26,0.17,0.1,0.04,0.0,0.1,0.06,0.15,1.0,0.19,0.21,0.0,0.0,0.1,0.09,0.06,0.0
neodatis-odb.csv,0.19,0.62,0.54,0.55,0.32,0.28,0.33,0.91,0.24,0.42,0.0,0.41,0.32,0.0,0.69,0.27,0.44,0.35,0.29
octet.csv,0.0,0.59,0.43,0.49,0.41,0.26,0.14,0.28,0.12,0.53,0.12,0.64,0.51,0.0,1.0,0.59,0.42,0.38,0.0
pokenetonline.csv,0.7,0.47,0.61,0.61,0.35,0.46,0.55,0.48,0.5,0.64,0.44,0.58,0.98,0.64,0.33,0.66,0.67,0.57,0.54
rcp-company-uibindings.csv,0.78,0.09,0.0,0.13,0.0,0.44,0.36,0.27,0.54,0.3,0.09,0.52,0.0,0.0,0.0,0.0,0.37,1.0,0.0
scenemonitor.csv,0.0,0.6,0.65,0.68,0.48,0.53,0.76,0.5,0.96,0.74,0.33,0.69,0.57,0.86,0.6,0.73,0.49,0.55,0.0
thedata.csv,0.17,0.1,0.05,0.17,0.04,0.1,0.0,0.22,0.29,0.0,0.45,0.02,0.09,0.0,0.17,0.15,0.13,0.38,1.0
twostep.csv,0.29,0.6,0.4,0.6,0.38,0.42,0.59,0.61,0.12,0.59,0.5,0.45,0.38,0.63,0.73,0.9,0.56,0.57,0.29
