,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.91,0.62,0.94,0.86,0.62,0.86,0.9,0.68,0.82,0.95,0.68,0.98,0.84,0.73,0.93,0.83,0.98,0.97,0.44
autofac.csv,0.44,0.33,0.45,0.54,0.56,0.57,0.45,0.49,0.53,0.44,0.5,0.41,0.4,0.46,0.53,0.32,0.43,0.37,0.43
avisynth2.csv,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.8,0.0,0.0,0.9,0.0,0.67,0.0,0.0,0.83,0.8,0.0
azureus.csv,0.92,0.42,0.52,0.69,0.86,0.88,0.69,0.68,0.82,0.58,0.89,0.69,0.75,0.5,0.67,0.68,0.63,0.68,0.54
dsworkbench.csv,0.37,0.44,0.42,0.46,0.76,0.56,0.46,0.53,0.4,0.47,0.57,0.38,0.39,0.4,0.52,0.44,0.44,0.46,0.5
forester-atv.csv,0.89,0.54,0.9,0.67,0.92,0.88,0.67,0.94,0.86,0.88,0.0,0.96,0.75,0.86,0.75,0.8,0.98,0.97,0.0
freelords.csv,0.4,0.5,0.4,0.39,0.46,0.42,0.41,0.49,0.39,0.45,0.41,0.39,0.35,0.5,0.47,0.49,0.44,0.46,0.55
gabel.csv,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.67,0.0,0.88,0.0,0.86,0.88,0.0,0.5,0.0,0.83,0.92,0.83
geotools.csv,0.88,0.56,0.83,0.58,0.85,0.93,0.89,0.73,0.9,0.74,0.86,0.69,0.87,0.86,0.5,0.8,0.66,0.77,0.85
google-collections.csv,0.39,0.34,0.36,0.33,0.44,0.38,0.45,0.4,0.31,0.46,0.38,0.38,0.33,0.4,0.46,0.42,0.41,0.41,0.36
jpaul.csv,0.69,0.52,0.43,0.77,0.96,0.79,0.62,0.63,0.75,0.44,0.89,0.5,0.43,0.8,0.78,0.43,0.56,0.7,0.34
mycila.csv,0.5,0.91,0.77,0.75,0.8,0.67,0.0,0.88,0.5,0.89,0.91,0.95,0.89,0.0,0.67,0.75,0.96,0.92,0.92
neodatis-odb.csv,0.92,0.47,0.54,0.68,0.78,0.82,0.9,0.79,0.8,0.75,0.86,0.75,0.71,0.9,0.8,0.93,0.68,0.8,0.77
octet.csv,0.88,0.42,0.59,0.77,0.88,0.94,0.89,0.8,0.67,0.66,0.89,0.5,0.5,0.88,0.86,0.61,0.63,0.67,0.53
pokenetonline.csv,0.37,0.42,0.42,0.39,0.55,0.49,0.42,0.42,0.62,0.55,0.47,0.39,0.4,0.41,0.53,0.4,0.38,0.39,0.71
rcp-company-uibindings.csv,0.36,0.33,0.37,0.34,0.45,0.38,0.44,0.4,0.33,0.44,0.38,0.4,0.33,0.4,0.46,0.42,0.42,0.4,0.36
scenemonitor.csv,0.4,0.33,0.41,0.44,0.48,0.49,0.45,0.59,0.53,0.47,0.57,0.39,0.4,0.43,0.53,0.32,0.43,0.5,0.6
thedata.csv,0.92,0.83,0.5,0.86,0.5,0.92,0.0,0.95,0.93,0.8,0.9,0.95,0.83,0.86,0.92,0.88,0.96,0.92,0.75
twostep.csv,0.95,0.39,0.61,0.45,0.64,0.65,0.81,0.53,0.86,0.63,0.59,0.61,0.67,0.61,0.86,0.5,0.58,0.55,0.53
