,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.62,0.55,0.86,0.61,0.62,0.72,0.64,0.9,0.98,0.63,0.51,0.96,0.92
avifile.csv,0.99,0.94,0.88,0.8,0.89,0.8,0.67,0.67,0.67,0.48,0.79,0.64,0.4
baadengine.csv,0.51,0.37,0.66,0.37,0.41,0.43,0.54,0.35,0.34,0.36,0.34,0.33,0.36
gdis.csv,0.57,0.69,0.4,0.52,0.46,0.72,0.55,0.44,0.47,0.44,0.59,0.53,0.32
gogoego.csv,0.46,0.42,0.39,0.54,0.41,0.51,0.53,0.61,0.44,0.36,0.36,0.38,0.29
impala.csv,0.99,0.45,0.74,0.62,0.48,0.52,0.74,0.54,0.54,0.96,0.88,0.84,0.94
jgameai.csv,0.92,0.88,0.92,0.89,0.86,0.71,0.54,0.89,0.97,0.61,0.92,0.95,0.83
jhotdraw.csv,0.48,0.55,0.42,0.67,0.44,0.65,0.0,0.42,0.81,0.85,0.66,0.75,0.93
patterntesting.csv,0.42,0.36,0.39,0.41,0.38,0.5,0.54,0.36,0.38,0.55,0.35,0.38,0.39
pokeglobal.csv,0.43,0.36,0.41,0.68,0.41,0.56,0.54,0.51,0.4,0.49,0.44,0.44,0.75
werx.csv,0.42,0.42,0.37,0.41,0.4,0.48,0.54,0.38,0.36,0.43,0.36,0.33,0.36
zealos.csv,0.99,0.92,0.6,0.85,0.75,0.94,0.65,0.62,0.83,0.49,0.52,0.97,0.43
