,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.0,1.0,0.75,0.88
repositorium.csv,0.72,0.18,0.78,1.0
simplewebservices.csv,0.81,0.77,0.84,0.03
xbg.csv,0.64,0.91,0.12,0.88
