,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.58,0.5,0.8,0.97
repositorium.csv,0.42,0.89,0.71,0.35
simplewebservices.csv,0.44,0.51,0.7,0.59
xbg.csv,0.8,0.67,0.86,0.96
