,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.59,0.83,0.33,0.38,0.8,0.73,0.34,0.74,0.63,0.39,0.95,0.24
archive-crawler.csv,0.21,0.33,0.33,0.12,0.6,0.23,0.1,0.33,0.09,0.96,0.19,0.17
blue-c.csv,0.76,0.58,0.67,0.06,0.63,0.97,0.38,0.55,0.59,0.39,0.48,0.4
dynalloy.csv,0.62,0.94,0.89,0.25,0.63,0.47,0.46,0.45,0.48,0.61,0.52,0.93
jcae.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.02,0.08,0.04,0.1,0.0
kmatplot.csv,0.97,0.19,0.33,0.25,0.14,0.23,0.24,0.17,0.27,0.17,0.19,0.64
mscore.csv,0.66,0.48,0.78,0.62,0.46,0.8,0.98,0.62,0.57,0.74,0.86,0.69
nosleepsoftware.csv,0.31,0.0,0.67,1.0,0.29,0.23,0.28,0.14,0.13,0.22,0.24,0.5
openmalaria.csv,0.76,0.75,0.89,0.56,0.46,0.6,0.66,0.98,0.57,0.61,0.52,0.74
popeye-chess.csv,0.72,0.48,0.67,0.31,0.94,0.5,0.5,0.5,0.36,0.52,0.52,0.62
riff-evolve.csv,0.62,0.56,0.78,0.31,0.69,0.57,0.56,0.69,0.96,0.61,0.76,0.76
virtuoso.csv,0.62,0.71,1.0,0.12,0.49,0.47,0.34,0.36,0.79,0.7,0.81,0.9
