,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,passwordsafe.csv,miranda.csv
boost.csv,0.48,0.6,0.33,0.48,0.76,0.97,0.49,0.62
etics.csv,0.96,0.59,0.31,0.42,0.74,0.31,0.56,0.65
genecys.csv,0.39,0.78,0.28,0.56,1.0,0.55,0.5,0.79
kvs.csv,0.5,0.32,0.95,0.34,0.52,0.25,0.33,0.5
mcore3d.csv,0.5,0.99,0.36,0.54,0.79,0.58,0.54,0.72
miranda.csv,0.49,0.59,0.27,0.53,0.85,0.42,0.52,0.98
ogrehg.csv,0.61,0.65,0.4,0.94,0.79,0.37,0.47,0.66
passwordsafe.csv,0.35,0.69,0.36,0.48,0.73,0.46,0.97,0.64
