,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.77,0.96,0.21,0.82,0.91,0.95,0.95,0.83,0.85,0.54,0.4,0.74,0.6,0.83,0.71,1.0,0.9,0.67,0.6,0.98
clamav.csv,0.62,0.82,0.71,0.73,0.82,0.65,0.93,0.91,0.77,0.7,0.33,0.87,0.2,0.96,0.54,0.94,0.8,1.0,0.6,0.89
customsagetv.csv,0.31,0.1,0.0,0.09,0.59,0.25,0.33,0.22,0.23,0.21,0.19,0.16,0.15,0.04,0.29,0.88,0.05,0.67,0.43,0.71
gss.csv,0.88,0.77,0.6,0.73,0.77,0.2,0.81,0.83,0.62,0.62,0.37,0.5,0.85,0.87,0.86,0.77,0.45,1.0,0.8,0.82
guineu.csv,0.65,0.51,0.0,0.09,0.05,0.3,0.35,0.43,0.0,0.11,0.06,0.26,0.1,0.17,0.22,0.81,0.0,1.0,0.33,0.11
inkscape.csv,0.62,0.72,1.0,1.0,0.23,0.1,0.77,0.65,0.92,0.7,0.12,1.0,0.95,0.17,1.0,1.0,0.4,0.67,0.9,0.87
mpqc.csv,0.35,0.2,0.26,0.0,0.27,0.6,0.33,0.52,0.38,0.46,0.65,0.26,0.75,0.48,0.39,0.62,0.1,0.33,0.47,0.29
nsis.csv,0.69,0.68,0.62,0.27,0.5,0.75,0.81,0.39,0.69,0.75,0.69,0.82,0.65,0.74,0.8,0.87,0.1,1.0,0.6,0.58
octave.csv,0.58,0.42,0.12,0.09,0.45,0.3,0.35,0.61,0.08,0.46,0.29,0.37,0.35,0.43,0.29,0.02,0.2,0.67,0.3,0.2
owfs.csv,0.69,0.83,0.95,0.45,0.77,0.3,0.81,0.91,0.54,0.89,0.57,0.34,0.15,0.74,0.75,0.96,0.5,0.67,0.57,0.87
owlib.csv,0.73,0.7,0.64,1.0,0.73,0.35,0.6,0.61,0.62,0.57,0.43,0.37,0.4,0.61,0.29,0.75,0.85,0.33,0.57,0.67
pamguard.csv,0.35,0.36,0.52,0.64,0.5,0.35,0.42,0.65,0.54,0.29,0.15,0.34,0.55,0.22,0.69,0.08,0.75,0.0,0.53,0.73
papertoolkit.csv,0.46,0.26,0.05,0.09,0.27,0.35,0.42,0.26,0.46,0.45,0.23,0.61,0.15,0.17,0.15,0.1,0.15,1.0,0.27,0.44
prelude.csv,0.96,0.99,0.79,0.91,0.95,0.75,1.0,0.91,0.92,0.96,0.6,0.89,0.7,1.0,0.95,0.96,0.95,1.0,0.97,0.91
pustefix.csv,0.5,0.97,0.48,0.55,0.55,0.7,0.88,0.3,0.46,0.39,0.29,0.58,0.15,0.74,0.42,0.42,0.95,0.67,0.27,0.44
robocode.csv,0.96,0.61,0.02,0.55,0.68,0.6,0.86,0.7,0.85,0.62,0.38,0.39,0.3,0.57,0.49,0.63,0.55,0.67,0.5,0.89
scenemonitor.csv,0.62,0.23,0.1,0.64,0.41,0.3,0.53,0.74,0.46,0.55,0.19,0.61,0.75,0.52,0.17,0.1,0.9,0.67,0.27,0.76
tango-cs.csv,0.85,0.5,0.1,0.45,0.36,0.5,0.77,0.74,0.69,0.75,0.3,0.58,0.85,0.43,0.44,0.21,0.65,0.67,0.47,0.6
uwom-server.csv,0.19,0.34,0.0,0.18,0.64,0.35,0.47,0.35,0.46,0.55,0.36,0.55,0.35,0.09,0.25,0.35,0.75,0.33,0.5,0.62
zengine.csv,1.0,0.96,0.67,0.91,1.0,0.9,0.98,1.0,0.92,0.91,0.99,0.87,0.7,0.87,0.93,0.94,0.85,1.0,0.93,0.89
