,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.06,0.0,0.11,0.18,0.15,0.05,0.0,0.14,0.0,0.04,0.04
gbif-providertoolkit.csv,0.02,0.02,0.0,0.01,0.0,0.04,0.0,0.02,0.0,0.02,0.11
geochat.csv,0.11,0.44,0.62,0.71,0.87,0.88,0.09,0.58,0.3,0.34,0.0
heekscad.csv,0.0,0.21,0.25,0.33,0.39,0.49,0.09,0.49,0.1,0.46,0.38
igarden.csv,0.23,0.31,0.24,0.0,0.49,0.46,0.26,0.49,0.1,0.44,0.37
jstock.csv,0.09,0.31,0.04,0.01,0.09,0.01,0.0,0.0,0.3,0.16,0.1
levent.csv,0.49,0.48,0.38,0.49,0.45,0.73,0.0,0.63,0.5,0.65,0.53
piccolo2d.csv,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
pnotepad.csv,0.7,0.63,0.92,1.0,0.7,0.78,0.7,0.74,0.0,0.8,0.7
trinitycore.csv,0.04,0.13,0.18,0.22,0.55,0.46,0.35,0.47,0.1,0.0,0.15
xcsoar.csv,0.21,0.29,0.0,0.42,0.28,0.4,0.04,0.35,0.0,0.34,0.27
