,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.12,1.0,0.36,0.24,0.0,0.0,0.12,0.1,0.22,0.03,0.11
gbif-providertoolkit.csv,0.16,0.0,0.07,0.06,0.96,0.12,0.15,0.0,0.0,0.0,0.14
geochat.csv,0.45,0.28,0.54,0.44,0.27,0.19,0.43,0.23,0.48,0.35,1.0
heekscad.csv,0.98,0.27,0.59,0.49,0.33,0.23,0.27,0.45,0.62,0.47,0.49
igarden.csv,0.57,0.15,0.41,0.98,0.26,0.27,0.43,0.16,0.68,0.36,0.26
jstock.csv,0.2,0.15,0.31,0.12,0.4,0.25,0.08,0.96,0.45,0.31,0.14
levent.csv,0.72,0.22,0.65,0.41,0.37,0.28,0.99,0.37,0.71,0.41,0.31
piccolo2d.csv,0.0,0.0,0.0,0.0,0.12,1.0,0.22,0.14,0.0,0.04,0.0
pnotepad.csv,0.8,0.26,0.63,0.46,0.31,0.27,0.77,0.42,0.98,0.43,0.42
trinitycore.csv,0.42,0.12,0.48,0.35,0.18,0.15,0.37,0.26,0.25,0.94,0.16
xcsoar.csv,0.71,0.36,0.96,0.39,0.39,0.36,0.51,0.4,0.52,0.4,0.22
