,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.94,0.0,0.76,0.83,1.01,1.0,0.94,0.93,0.88,0.98,0.93
gbif-providertoolkit.csv,0.91,1.0,0.96,0.97,0.07,0.92,0.92,1.0,1.0,1.0,0.91
geochat.csv,0.7,0.58,0.71,0.75,0.89,0.93,0.72,0.85,0.73,0.66,0.0
heekscad.csv,0.04,0.66,0.51,0.54,0.58,0.67,0.84,0.54,0.55,0.53,0.46
igarden.csv,0.59,0.81,0.7,0.03,0.7,0.6,0.74,0.91,0.49,0.65,0.76
jstock.csv,0.89,0.81,0.8,0.94,0.65,0.85,0.96,0.08,0.75,0.74,0.91
levent.csv,0.56,0.69,0.48,0.66,0.53,0.74,0.02,0.7,0.64,0.69,0.73
piccolo2d.csv,1.0,1.0,1.0,1.0,0.93,0.0,0.88,0.92,1.0,0.98,1.0
pnotepad.csv,0.7,0.68,0.92,1.0,0.73,0.78,0.71,0.75,0.04,0.8,0.72
trinitycore.csv,0.73,0.89,0.63,0.71,0.85,0.83,0.81,0.77,0.86,0.11,0.88
xcsoar.csv,0.43,0.47,0.07,0.66,0.51,0.46,0.65,0.58,0.65,0.6,0.81
