,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.2,0.56,0.52,0.32,0.29,0.42,0.54,0.0,0.79,0.35,0.24,0.48,0.19,0.13,0.66,0.4,0.63,0.0
arsenal-1.csv,0.22,0.31,0.21,0.0,0.12,0.16,0.06,0.68,0.06,0.11,0.0,0.18,0.09,0.1,0.16,0.0,0.0,0.99
atomsite.csv,0.64,0.62,0.72,0.34,0.53,0.66,0.71,0.7,0.56,0.71,0.2,0.59,0.19,0.42,0.59,0.37,0.71,0.0
barracudamvc.csv,0.47,0.0,0.0,0.7,0.48,0.52,0.0,0.0,0.0,0.09,0.0,0.27,0.0,0.55,0.21,0.0,0.17,0.0
emisview.csv,0.37,0.0,0.39,0.39,0.4,0.43,0.54,0.61,0.75,0.76,0.26,0.57,0.02,0.11,0.62,0.42,0.53,0.0
findbugs.csv,0.0,0.66,0.57,0.49,0.13,0.44,0.57,0.54,0.64,0.55,0.54,0.6,0.28,0.6,0.59,0.56,0.41,0.79
jitterbit.csv,0.0,0.69,0.56,0.56,0.48,0.51,0.7,0.0,0.69,0.56,0.33,0.69,0.19,0.3,0.6,0.68,0.62,0.0
lite.csv,0.51,0.0,0.17,0.38,0.5,0.42,0.11,0.63,0.21,0.11,0.24,0.15,0.12,0.25,0.77,0.17,0.27,0.0
megasquirtavr.csv,0.29,0.0,0.41,0.5,0.54,0.13,0.4,0.0,0.35,0.36,0.6,0.54,0.22,0.27,0.15,0.46,0.29,0.45
ontopia.csv,0.49,0.59,0.58,0.14,0.23,0.54,0.57,0.3,0.52,0.5,0.47,0.14,0.0,0.75,0.59,0.39,0.24,0.0
openintents.csv,0.64,0.36,0.46,0.28,0.34,0.7,0.44,0.26,0.69,0.53,0.09,0.41,0.51,0.32,0.79,0.45,0.57,0.68
rectracker.csv,0.3,0.51,0.87,0.42,0.49,0.24,0.09,0.57,0.0,0.56,0.0,0.34,0.7,0.0,0.73,0.0,0.0,0.49
stajistics.csv,0.56,0.0,0.17,0.62,0.06,0.62,0.27,0.61,0.62,0.38,0.31,0.43,0.0,0.37,0.65,0.48,0.76,0.0
trackit.csv,0.35,0.11,0.0,0.25,0.48,0.33,0.45,0.22,0.41,0.3,0.63,0.38,0.36,0.41,0.5,0.25,0.16,0.0
wxlua.csv,0.28,0.34,0.49,0.37,0.44,0.2,0.39,0.3,0.61,0.2,0.42,0.49,0.7,0.42,0.09,0.33,0.23,0.88
x4x.csv,0.74,0.0,0.29,0.59,0.64,0.44,0.62,0.45,0.49,0.62,0.42,0.57,0.45,0.42,0.63,0.5,0.53,0.0
xharbour.csv,0.29,0.79,0.64,0.0,0.66,0.44,0.68,0.0,0.61,0.62,0.6,0.62,0.58,0.54,0.59,0.58,0.66,0.05
