,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.45,0.59,0.39,0.42,0.52,0.51
columba.csv,0.51,0.46,0.48,0.5,0.5,0.62
emftriple.csv,0.0,0.9,0.0,0.0,0.0,0.71
fluent-nhibernate.csv,0.93,0.98,0.75,0.94,0.96,0.97
gpsmid.csv,0.41,0.37,0.46,0.41,0.43,0.6
xamj.csv,0.44,0.54,0.38,0.74,0.64,0.64
