,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.84,1.06,0.73,0.65,0.04,0.84,0.15,0.61,0.9,0.67,0.92,1.07,0.88
emulemorph.csv,1.0,1.0,1.0,0.78,1.01,0.92,1.05,0.82,0.17,1.0,1.0,1.0,0.63
gisgraphy.csv,0.75,0.75,0.63,0.52,0.67,0.81,0.82,0.42,0.46,0.86,0.91,0.57,0.0
jaxen.csv,1.0,1.0,0.88,1.0,0.92,1.0,1.0,0.0,1.0,0.92,0.98,1.0,1.0
jvcl.csv,0.9,1.0,0.0,0.91,1.01,0.98,0.92,1.07,1.0,1.01,0.98,1.0,0.58
m-m-m.csv,0.7,0.74,0.86,0.84,0.95,0.0,0.67,0.94,0.99,0.55,0.94,0.76,0.94
motu.csv,0.88,0.57,0.69,1.0,0.73,0.84,0.0,0.4,1.0,0.0,1.0,0.27,0.93
nh3d.csv,0.97,0.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0
sarasvati.csv,0.7,1.0,0.88,0.18,0.96,1.0,0.31,1.0,0.96,0.78,0.86,1.0,1.0
wgs-assembler.csv,0.03,0.75,0.75,0.64,0.71,0.94,0.15,0.8,1.01,0.71,0.92,0.12,0.81
zabbix.csv,0.88,0.75,0.96,0.86,0.84,1.04,0.79,0.46,0.78,0.81,0.02,1.24,0.72
