,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.01,0.15,0.37,0.0,0.0,0.22,0.74,0.28,0.45,0.0
critterding.csv,0.52,0.62,0.84,0.37,0.82,0.53,0.89,0.85,0.64,0.85
enlightenment.csv,0.63,1.0,1.0,0.64,1.0,0.99,0.95,0.53,0.76,0.82
exordium.csv,0.04,0.65,0.79,0.08,0.64,0.62,0.05,0.59,0.38,0.18
google-caja.csv,0.65,0.68,0.63,0.52,0.95,0.86,0.74,1.0,0.75,0.68
itext.csv,0.85,0.5,1.0,0.71,0.73,0.99,0.95,0.92,0.67,0.76
lockss.csv,0.29,0.18,0.79,0.4,0.68,0.69,0.68,0.61,0.47,0.5
modplug.csv,0.72,0.74,1.0,0.81,0.91,0.79,0.89,0.95,0.78,0.62
reactos-mirror.csv,0.62,0.74,0.95,0.55,0.59,0.73,1.0,0.25,0.73,0.94
yafdotnet.csv,0.45,0.5,0.53,0.27,0.91,0.82,0.32,0.71,0.49,0.71
