,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.0,0.1,0.09,0.0,0.01,0.15,0.18,0.47,0.21,0.0
critterding.csv,0.48,0.27,0.66,0.41,0.91,0.37,0.69,0.78,0.29,0.5
enlightenment.csv,0.34,1.0,1.0,0.37,1.0,0.85,0.96,0.22,0.79,0.67
exordium.csv,0.01,0.41,0.21,0.01,0.58,0.11,0.04,0.38,0.0,0.03
google-caja.csv,0.52,0.59,0.41,0.28,0.95,0.26,0.24,0.98,0.33,0.17
itext.csv,0.75,0.29,0.64,0.52,0.59,1.0,0.69,0.87,0.17,0.2
lockss.csv,0.18,0.02,0.32,0.17,0.28,0.37,0.31,0.23,0.21,0.17
modplug.csv,0.7,0.51,0.79,0.69,0.85,0.59,0.61,0.95,0.29,0.27
reactos-mirror.csv,0.27,0.49,0.8,0.23,0.4,0.56,1.0,0.11,0.42,0.63
yafdotnet.csv,0.37,0.49,0.25,0.13,0.88,0.52,0.12,0.26,0.12,0.27
