,f1,g,recall,precision,pf,cdom,bellwether
1,0.82,0.6,0.46,0.49,0.52,6.0,freelords.csv
9,0.7949999999999999,0.785,0.485,0.515,0.61,1.0,gpsmid.csv
12,0.875,0.59,0.555,0.47,0.47,9.0,psycle.csv
26,0.8700000000000001,0.595,0.565,0.56,0.52,3.0,uface.csv
31,0.78,0.605,0.54,0.49,0.46,18.0,heekscad.csv
51,0.6699999999999999,0.38,0.4,0.44,0.47,17.0,codeblocks.csv
23,0.8049999999999999,0.585,0.495,0.47,0.47,1.0,magicwars.csv
24,0.69,0.425,0.38,0.46499999999999997,0.51,2.0,turbotrader-bos.csv
25,0.65,0.605,0.56,0.575,0.59,0.0,xmemcached.csv
