,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.09,0.4,1.0,0.25,0.67,0.82,0.45,0.65,0.08,0.07,0.41,0.41,0.81,0.73,0.07
amateur-scrolls.csv,0.03,0.24,0.45,1.0,0.92,0.79,0.71,0.71,0.25,0.06,0.24,0.3,1.0,1.0,0.0
biopax.csv,0.11,0.48,0.32,0.43,0.6,0.8,0.3,0.69,0.12,0.04,0.45,0.43,0.96,0.86,0.03
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
exl.csv,0.1,0.34,0.33,0.38,0.62,0.81,0.33,0.69,0.18,0.05,0.45,0.43,0.84,1.0,0.03
ikvm.csv,0.07,1.0,0.23,0.3,0.44,0.76,0.36,0.44,0.07,0.03,0.37,0.2,0.79,0.5,0.05
irrlicht.csv,0.08,0.48,0.26,0.31,0.55,0.98,0.32,0.63,0.11,0.07,0.41,0.35,0.73,0.74,0.05
les-indemodables.csv,0.19,0.47,0.44,0.29,0.87,0.79,0.42,0.9,0.0,0.09,0.58,1.0,0.93,1.0,0.06
lportal.csv,0.03,0.72,0.08,0.08,0.46,0.75,0.27,0.5,0.05,0.99,0.31,0.24,0.56,0.44,0.0
ns-3-dev-def-routing.csv,0.12,0.5,0.46,0.47,0.73,0.8,0.52,0.57,0.12,0.07,1.0,0.3,0.85,0.79,0.0
qpe.csv,1.0,0.45,0.36,0.18,0.54,0.76,0.26,0.22,0.06,0.03,0.31,0.08,0.71,0.67,0.0
sigil.csv,0.16,0.3,0.4,0.38,0.79,0.83,0.4,0.98,0.31,0.07,0.47,0.44,0.89,0.85,0.05
ultimairis.csv,0.08,0.42,0.25,0.43,0.62,0.77,1.0,0.6,0.12,0.04,0.4,0.37,0.87,0.84,0.03
unflobtactical.csv,0.1,0.33,0.26,0.28,1.0,0.77,0.35,0.83,0.09,0.06,0.51,0.45,0.82,0.76,0.04
xbg.csv,0.0,0.57,0.36,0.41,1.0,0.73,0.28,1.0,1.0,0.06,0.57,0.0,1.0,0.88,0.08
