,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.07,0.0,0.13,0.0,0.0,0.15,0.09,0.11,0.2,0.04,1.0
fceugc.csv,0.25,0.42,0.14,0.98,0.28,0.35,0.43,0.1,0.25,0.0,0.53
flexpay.csv,0.21,0.65,0.94,0.31,0.3,0.35,0.65,0.34,0.2,0.87,0.44
jstock.csv,0.04,0.32,0.26,0.17,0.47,0.46,0.4,1.0,0.19,0.08,0.18
keyczar.csv,0.19,0.5,0.24,0.17,0.44,0.33,0.22,0.29,0.12,0.99,0.04
modellus.csv,0.2,0.53,0.31,0.21,0.62,0.99,0.61,0.44,0.19,0.08,0.12
open-data-kit.csv,0.31,0.61,0.22,0.47,0.43,0.61,1.0,0.55,0.3,0.74,0.2
phet.csv,0.94,0.53,0.21,0.34,0.31,0.28,0.66,0.33,0.19,0.84,0.77
qtractor.csv,0.17,0.96,0.27,0.51,0.35,0.54,0.37,0.33,0.24,0.37,0.5
sumatrapdf.csv,0.23,0.64,0.3,0.54,1.0,0.69,0.69,0.29,0.38,0.51,0.68
synergyspace.csv,0.14,0.56,0.3,0.13,0.37,0.51,0.64,0.19,0.96,0.18,0.65
