,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.92,0.32,0.22,0.78,1.0,0.32,0.73,0.46,0.17,0.35,0.33,0.82
crisscross.csv,0.32,0.44,0.95,0.21,0.24,0.21,0.32,0.06,0.19,0.0,0.32,0.33
gabel.csv,0.01,0.0,0.0,0.0,0.0,0.11,0.02,0.06,1.0,0.0,0.0,0.01
jguard.csv,0.73,0.31,0.29,0.54,0.54,0.33,0.68,0.98,0.21,0.24,0.32,0.68
jitterbit.csv,0.72,0.27,0.26,0.35,0.45,0.97,0.52,0.18,0.24,0.35,0.17,0.59
mycila.csv,0.15,0.0,0.06,0.0,0.04,0.21,0.13,0.24,0.0,0.36,0.95,0.22
nova.csv,0.81,1.0,0.25,0.72,0.81,0.43,0.77,0.51,0.18,0.3,0.3,0.67
ontomorphtab.csv,0.75,0.4,0.3,0.97,0.54,0.45,0.65,0.46,0.17,0.3,0.35,0.67
tmva.csv,0.81,0.37,0.3,0.68,0.44,0.37,0.73,0.48,0.17,0.26,0.29,0.99
vienna-add-in.csv,0.96,0.37,0.33,0.5,0.65,0.38,0.98,0.37,0.14,0.32,0.08,0.82
vrjuggler.csv,0.0,0.3,0.06,0.48,0.04,0.47,0.42,0.32,0.0,0.97,0.17,0.06
wpdev.csv,1.0,0.37,0.29,0.76,0.83,0.43,0.8,0.52,0.15,0.35,0.32,0.85
