,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,1.0,0.91,0.93,0.67,0.0,0.77,0.9,0.73,0.75,0.69,0.71,0.85
crisscross.csv,0.5,0.02,0.0,0.0,0.06,0.2,0.15,0.04,0.12,0.1,0.26,0.03
gabel.csv,0.0,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.05,0.03
jguard.csv,1.0,0.93,0.78,0.38,0.72,0.52,0.78,0.0,0.38,0.22,0.52,0.73
jitterbit.csv,0.5,0.57,0.52,0.14,0.22,0.0,0.27,0.36,0.3,0.78,0.29,0.43
mycila.csv,0.0,0.0,0.14,0.05,0.11,0.1,0.05,0.11,0.12,0.36,0.0,0.03
nova.csv,1.0,0.0,0.9,0.86,0.89,0.72,0.78,0.68,0.82,0.59,0.71,0.67
ontomorphtab.csv,0.0,0.43,0.63,0.05,0.39,0.77,0.76,0.54,0.63,0.39,0.67,0.73
tmva.csv,0.0,1.0,0.65,0.67,0.5,0.69,0.68,0.48,0.75,0.75,0.62,0.02
vienna-add-in.csv,1.0,1.0,0.71,0.48,0.56,0.51,0.0,0.25,0.76,0.98,0.33,0.73
vrjuggler.csv,0.0,0.23,0.09,0.43,0.11,0.32,0.17,0.61,0.02,0.0,0.29,0.07
wpdev.csv,0.0,1.0,0.95,0.9,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
