,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.24,0.09,0.25,0.57,0.11,0.17,0.0,0.14,0.11,0.35
flylegacy.csv,0.64,0.42,0.65,0.53,0.55,0.65,0.44,0.36,1.0,0.82
ftm.csv,0.36,0.15,0.4,0.31,0.19,0.15,0.16,0.59,0.72,0.47
jcache.csv,0.88,0.67,0.94,0.43,0.44,0.54,0.32,0.86,0.33,0.91
lphant.csv,0.88,0.73,0.6,0.7,0.8,0.65,0.68,0.68,0.89,0.85
minig.csv,0.64,1.0,0.87,0.83,0.67,0.72,0.72,1.0,0.1,0.62
mob-sen-plat.csv,0.8,0.76,0.92,0.56,0.77,0.61,0.48,0.68,0.77,0.56
raygina.csv,0.76,0.0,0.6,0.66,0.22,0.37,0.44,0.91,0.11,0.35
upp-mirror.csv,0.4,0.09,0.81,0.69,0.7,0.48,0.16,0.23,0.41,0.47
yarp.csv,0.2,0.0,0.22,0.04,0.0,0.35,0.6,0.18,0.02,0.26
