,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.5,0.72,0.15,0.12,0.11,0.56,0.46,0.39,0.34,0.09,0.38,0.17,0.28,0.05,0.98,0.38,0.18,0.68,0.78
co-ode-owl-plugins.csv,0.55,0.84,0.24,0.39,0.12,0.76,0.53,0.59,0.6,0.94,0.49,0.14,0.36,0.12,0.63,0.38,0.14,0.76,0.93
exl.csv,0.52,0.78,0.17,0.16,0.21,0.64,0.5,0.44,0.36,0.27,0.46,0.13,0.24,0.1,0.95,0.46,0.22,0.89,1.0
firebreath.csv,0.59,0.62,0.19,0.24,0.17,0.68,0.47,0.96,0.22,0.17,0.48,0.1,0.15,0.03,0.88,0.42,0.18,0.67,0.79
irplus.csv,0.26,0.72,0.12,0.09,0.25,0.5,0.39,0.36,0.29,0.15,0.58,0.12,0.33,0.08,0.73,1.0,0.14,0.65,0.91
jasperreports.csv,0.5,0.55,0.1,0.33,0.0,0.5,0.42,0.71,0.33,0.21,0.5,0.08,0.31,1.0,1.0,0.3,0.0,0.72,0.0
javaprofiler.csv,0.61,0.71,0.16,0.12,0.13,0.57,0.59,0.47,0.32,0.3,0.46,0.11,0.32,0.08,0.72,0.44,0.18,1.0,0.88
konversation.csv,0.22,0.47,0.19,1.0,0.27,0.75,0.67,0.25,0.22,0.31,0.27,0.09,0.27,0.4,1.0,0.39,0.12,1.0,0.74
lazarus-ccr.csv,1.0,0.58,0.0,0.03,0.12,0.49,0.47,0.44,0.29,0.47,0.36,0.12,0.45,0.07,0.78,0.31,0.15,0.55,0.82
linuxsh.csv,0.38,0.57,1.0,0.25,0.18,0.6,0.56,0.64,0.28,0.09,0.49,0.21,0.2,0.23,0.62,0.39,0.5,0.88,0.81
migen.csv,0.42,0.71,0.16,0.27,0.16,0.57,1.0,0.52,0.56,0.09,0.47,0.18,0.33,0.14,1.0,0.5,0.16,0.75,0.89
moviesandbox.csv,0.59,0.78,0.27,0.26,0.25,0.93,0.55,0.38,0.4,0.17,0.67,0.17,0.32,0.18,0.73,0.42,0.17,0.8,0.9
mvnforum.csv,0.0,0.42,0.57,0.17,0.16,0.53,0.56,0.38,0.5,0.0,0.51,0.12,0.94,0.0,0.88,0.4,0.0,0.59,1.0
nebuladevice.csv,0.48,0.29,0.0,0.28,0.13,0.8,0.53,0.5,0.24,0.41,0.59,0.06,0.14,0.15,0.71,0.4,1.0,0.78,0.71
ontomorphtab.csv,0.5,1.0,0.17,0.21,0.26,0.81,0.56,0.41,0.5,0.2,0.43,0.13,0.41,0.14,0.76,0.36,0.25,0.6,0.95
opengs.csv,0.53,0.67,0.22,0.36,0.28,0.74,0.56,0.43,1.0,0.07,1.0,0.2,0.31,0.09,0.71,0.41,0.17,0.75,0.96
scite-ru.csv,0.5,0.64,0.16,0.15,0.13,0.64,0.51,0.42,0.94,0.24,0.51,0.11,0.29,0.05,0.77,0.43,0.14,0.68,0.78
tokratan.csv,0.5,0.92,0.0,0.29,0.14,0.69,0.5,0.51,0.42,0.03,0.25,1.0,0.21,0.05,0.89,0.33,0.38,0.75,0.86
xuggle.csv,0.4,0.56,0.16,0.14,0.95,0.58,0.39,0.34,0.23,0.15,0.47,0.1,0.26,0.02,0.81,0.36,0.23,0.73,0.79
