,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.92,0.74,0.71,0.62,0.65,0.65,0.72,0.0,0.51,0.8,0.73,0.85,0.91,0.63
avifile.csv,0.0,1.0,1.0,1.0,1.0,0.95,1.0,0.93,1.0,0.94,0.88,1.0,1.0,1.06
delphilhlplib.csv,0.61,0.66,0.55,0.44,0.06,0.91,0.59,0.7,0.77,0.85,0.96,0.92,0.83,0.94
fluidium.csv,0.82,0.59,0.76,0.8,0.93,0.59,0.03,0.74,0.73,0.79,0.69,0.76,0.84,0.82
gnome-jabber.csv,1.16,0.87,0.73,0.99,0.65,0.92,0.87,0.8,0.6,0.83,0.63,0.4,0.85,0.84
ipfilter.csv,0.86,0.85,1.0,1.0,0.98,0.97,0.7,0.97,0.99,0.72,0.91,1.01,0.04,0.77
jparsec.csv,1.0,1.0,0.87,1.0,0.84,0.71,0.97,1.0,0.97,0.03,0.82,1.0,0.9,0.97
loki-lib.csv,0.75,0.77,0.71,0.82,1.02,0.7,0.82,0.64,0.52,0.51,0.03,0.82,0.61,0.65
mumble.csv,1.01,0.5,0.86,0.9,0.93,0.77,1.0,0.82,0.04,0.94,0.93,0.87,0.92,0.9
opengs.csv,1.01,0.55,0.63,0.8,0.75,0.04,0.65,0.93,0.62,0.8,0.9,0.92,0.66,0.76
owfs.csv,1.04,0.0,0.77,0.84,0.72,0.85,1.0,0.89,0.77,0.73,0.86,0.88,0.77,0.95
rectracker.csv,0.83,0.98,0.02,0.84,0.92,0.81,0.86,0.78,0.68,0.72,0.94,1.0,1.0,0.97
rockbox.csv,0.88,0.74,0.91,0.8,0.91,0.78,0.71,0.86,0.56,0.8,0.72,0.8,0.97,0.06
zealos.csv,0.63,0.69,0.57,0.04,0.89,0.76,0.87,0.67,0.69,0.56,0.66,0.83,0.83,0.64
