,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.23,0.39,0.36,0.47,0.46,0.63,0.37,1.0,0.66,0.36,0.41,0.2,0.16,0.5
avifile.csv,1.0,0.0,0.0,0.0,0.0,0.07,0.0,0.1,0.0,0.11,0.2,0.0,0.0,0.06
delphilhlplib.csv,0.59,0.54,0.54,0.7,0.99,0.35,0.63,0.38,0.57,0.45,0.17,0.1,0.2,0.24
fluidium.csv,0.24,0.49,0.29,0.27,0.1,0.58,0.99,0.33,0.36,0.28,0.49,0.28,0.37,0.25
gnome-jabber.csv,0.0,0.41,0.57,0.05,0.6,0.33,0.35,0.53,0.61,0.49,0.59,0.88,0.45,0.49
ipfilter.csv,0.4,0.47,0.0,0.0,0.02,0.07,0.61,0.23,0.31,0.48,0.36,0.0,0.97,0.57
jparsec.csv,0.0,0.0,0.46,0.0,0.48,0.6,0.13,0.0,0.13,0.98,0.52,0.0,0.38,0.13
loki-lib.csv,0.42,0.45,0.58,0.51,0.3,0.54,0.28,0.54,0.76,0.67,0.98,0.31,0.51,0.49
mumble.csv,0.0,0.59,0.17,0.12,0.34,0.28,0.0,0.21,0.97,0.09,0.09,0.16,0.13,0.13
opengs.csv,0.0,0.57,0.43,0.24,0.55,0.97,0.42,0.1,0.45,0.28,0.12,0.1,0.4,0.3
owfs.csv,0.0,1.0,0.44,0.2,0.43,0.22,0.0,0.19,0.28,0.33,0.17,0.17,0.28,0.06
rectracker.csv,0.51,0.09,0.98,0.47,0.4,0.54,0.45,0.56,0.67,0.59,0.27,0.0,0.0,0.13
rockbox.csv,0.23,0.31,0.28,0.24,0.11,0.53,0.37,0.19,0.52,0.4,0.35,0.33,0.28,0.95
zealos.csv,0.58,0.61,0.56,0.97,0.37,0.48,0.43,0.48,0.63,0.53,0.42,0.24,0.31,0.42
