,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,15.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0
avifile.csv,0.0,62.0,82.0,97.0,70.0,6.0,49.0,2.0,89.0,3.0,4.0,96.0,64.0,15.0
delphilhlplib.csv,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,18.0,1.0,4.0,0.0,0.0,15.0
fluidium.csv,1.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,9.0,1.0,6.0,0.0,0.0,5.0
gnome-jabber.csv,69.0,1.0,0.0,11.0,0.0,5.0,1.0,2.0,9.0,1.0,1.0,2.0,1.0,13.0
ipfilter.csv,2.0,0.0,0.0,11.0,0.0,8.0,0.0,2.0,24.0,3.0,4.0,3.0,0.0,13.0
jparsec.csv,3.0,1.0,1.0,11.0,1.0,4.0,0.0,2.0,25.0,1.0,4.0,3.0,0.0,15.0
loki-lib.csv,0.0,21.0,0.0,11.0,1.0,2.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,7.0
mumble.csv,69.0,6.0,0.0,1.0,1.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
opengs.csv,69.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0
owfs.csv,69.0,0.0,1.0,0.0,3.0,1.0,49.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0
rectracker.csv,3.0,1.0,0.0,11.0,1.0,2.0,0.0,2.0,16.0,3.0,4.0,3.0,0.0,15.0
rockbox.csv,12.0,2.0,0.0,1.0,0.0,6.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0
zealos.csv,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,2.0,2.0,1.0,0.0,2.0
