,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.48,0.46,0.83,0.5,0.59,0.43,0.53,0.5,0.42,0.57,0.59,0.65,0.82,0.6
avifile.csv,0.8,0.0,0.0,0.0,0.0,0.89,0.0,0.88,0.8,0.95,0.95,0.0,0.0,0.94
delphilhlplib.csv,0.52,0.48,0.65,0.6,0.43,0.51,0.5,0.57,0.4,0.43,0.45,0.86,0.89,0.47
fluidium.csv,0.92,0.71,0.94,0.95,0.8,0.48,0.68,0.67,0.72,0.64,0.63,0.64,0.58,0.73
gnome-jabber.csv,0.53,0.42,0.33,0.55,0.42,0.38,0.65,0.51,0.43,0.45,0.51,0.52,0.47,0.46
ipfilter.csv,0.5,0.44,0.3,0.55,0.0,0.95,0.63,0.48,0.62,0.63,0.48,0.55,0.45,0.53
jparsec.csv,0.36,0.4,0.28,0.54,0.4,0.36,0.46,0.42,0.4,0.58,0.5,0.52,0.38,0.46
loki-lib.csv,0.48,0.42,0.31,0.55,0.53,0.35,0.57,0.49,0.42,0.34,0.61,0.5,0.43,0.48
mumble.csv,0.9,0.47,0.9,0.8,0.5,0.9,0.5,0.9,0.62,0.9,0.5,0.92,0.89,0.75
opengs.csv,0.88,0.45,0.67,0.83,0.49,0.63,0.43,0.83,0.67,0.7,0.75,0.86,0.56,0.55
owfs.csv,0.68,0.91,0.39,0.9,0.5,0.71,0.5,0.81,0.86,0.71,0.83,0.71,0.77,0.67
rectracker.csv,0.42,0.4,0.42,0.6,0.53,0.4,0.46,0.45,0.4,0.48,0.45,0.52,0.37,0.46
rockbox.csv,0.56,0.8,0.54,0.89,0.8,0.39,0.64,0.67,0.48,0.52,0.61,0.43,0.62,0.47
zealos.csv,0.49,0.54,0.46,0.63,0.41,0.49,0.57,0.63,0.49,0.51,0.76,0.95,0.71,0.64
