,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.2,0.62,0.33,0.61,0.47,0.38,0.49,0.63,0.48,0.99
geotools.csv,0.07,0.4,0.24,0.07,0.52,0.17,0.97,0.65,0.11,0.36
gephex.csv,0.27,0.59,0.34,0.6,0.41,0.45,0.49,0.96,0.42,0.53
haggle.csv,0.07,0.99,0.22,0.15,0.36,0.06,0.26,0.39,0.23,0.0
java-gnome.csv,0.29,0.5,0.45,0.97,0.4,0.53,0.45,0.73,0.36,0.63
jgnash.csv,0.21,0.41,1.0,0.13,0.24,0.24,0.38,0.36,0.22,0.39
jrdf.csv,0.11,0.26,0.29,0.64,0.18,0.93,0.36,0.19,0.26,0.29
mpqc.csv,0.89,0.45,0.09,0.38,0.38,0.23,0.25,0.42,0.62,0.68
panda3d.csv,0.0,0.32,0.12,0.6,0.93,0.11,0.15,0.35,0.38,0.52
tencompetence.csv,0.35,0.15,0.24,0.62,0.17,0.33,0.3,0.19,1.0,0.12
