,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,3.0,0.0,28.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
geotools.csv,10.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
gephex.csv,2.0,0.0,20.0,0.0,3.0,9.0,8.0,0.0,0.0,0.0
haggle.csv,18.0,0.0,1.0,1.0,3.0,10.0,6.0,0.0,3.0,97.0
java-gnome.csv,1.0,2.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
jgnash.csv,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0
jrdf.csv,2.0,2.0,20.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
mpqc.csv,0.0,0.0,51.0,0.0,3.0,6.0,35.0,0.0,0.0,0.0
panda3d.csv,127.0,0.0,6.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0
tencompetence.csv,0.0,0.0,42.0,0.0,3.0,6.0,30.0,0.0,0.0,6.0
