,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.13,0.71,0.2,0.84,0.36,0.25,0.37,0.62,0.57,1.0
geotools.csv,0.05,0.57,0.23,0.67,0.4,0.22,1.0,0.71,0.59,0.79
gephex.csv,0.17,0.61,0.22,0.93,0.3,0.36,0.37,1.0,0.54,0.68
haggle.csv,0.05,0.99,0.24,0.5,0.32,0.06,0.36,0.55,0.62,0.0
java-gnome.csv,0.21,0.64,0.33,1.0,0.33,0.47,0.38,0.76,0.6,0.77
jgnash.csv,0.14,0.62,1.0,1.0,0.32,0.3,0.39,0.53,0.56,0.62
jrdf.csv,0.11,0.5,0.22,0.93,0.33,1.0,0.33,0.67,0.54,0.6
mpqc.csv,1.0,0.66,0.06,0.82,0.35,0.15,0.2,0.56,0.63,0.74
panda3d.csv,0.0,0.71,0.22,0.74,1.0,0.33,0.22,0.56,0.6,0.96
tencompetence.csv,0.27,0.41,0.16,0.85,0.21,0.21,0.23,0.57,1.0,0.29
