,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.17,0.72,0.16,0.29,0.33,0.72,0.58,0.84,0.54,0.25,0.88,0.87,0.11,0.91,0.7,0.72,0.4,0.92,0.45,0.68
bl-toolkit.csv,0.16,0.58,0.17,0.26,0.21,0.89,0.3,0.53,0.58,0.25,0.72,0.83,0.1,0.82,0.57,0.67,0.43,0.75,0.45,0.66
capcode.csv,0.34,0.61,0.19,0.24,0.24,0.72,0.34,0.68,0.55,0.16,0.61,0.8,0.11,0.76,0.59,0.54,0.48,0.79,0.44,0.5
gebr.csv,0.15,0.67,0.17,0.24,0.29,0.79,0.35,0.74,0.58,0.25,0.94,0.91,0.08,0.84,0.5,0.68,0.45,0.85,0.45,0.67
gpac.csv,0.1,0.57,0.16,0.19,0.2,1.0,0.33,0.58,0.74,0.71,0.67,0.82,0.15,0.85,0.55,0.66,0.42,0.81,0.45,0.65
gretl.csv,0.14,0.71,0.21,0.27,0.18,0.71,0.29,0.82,0.54,0.25,0.83,0.9,0.1,0.93,0.54,0.83,0.42,0.86,0.45,0.67
kindb.csv,0.12,0.69,0.5,0.5,0.54,0.58,0.62,0.87,0.55,0.71,1.0,0.95,0.04,0.91,0.42,0.93,0.5,0.95,0.58,0.7
kowari.csv,0.17,0.6,0.07,0.32,0.26,0.78,0.42,0.75,0.33,0.78,0.63,0.85,0.25,0.85,0.41,0.73,0.29,0.8,0.67,0.67
libtorrent.csv,0.15,0.72,0.17,0.35,0.27,0.88,0.44,0.74,0.57,0.26,0.84,0.88,0.11,0.94,0.57,0.8,0.42,0.87,0.46,0.68
linuxsh.csv,0.17,0.76,0.33,0.56,0.0,0.81,0.4,1.0,0.58,0.24,0.9,0.92,0.0,0.92,0.59,1.0,0.75,0.9,0.48,0.73
lmms.csv,0.19,0.77,0.24,0.47,0.3,0.79,0.42,0.92,0.54,0.31,0.89,0.89,0.14,0.92,0.69,0.84,0.48,0.91,0.46,0.7
lufa-lib.csv,0.14,0.72,0.22,0.48,0.23,0.76,0.37,0.67,0.51,0.32,0.78,0.83,0.1,0.83,0.5,0.83,0.6,0.83,0.46,0.7
mbse.csv,0.19,0.66,0.16,0.38,0.34,0.83,0.5,0.69,0.62,0.45,0.8,0.87,0.09,0.87,0.55,0.72,0.35,0.88,0.48,0.74
mcmc-jags.csv,0.16,0.71,0.18,0.71,0.35,0.68,0.41,0.75,0.54,0.25,0.84,0.89,0.09,0.86,0.54,0.83,0.62,0.83,0.49,0.72
miranda.csv,0.21,0.75,0.22,0.54,0.5,1.0,0.46,0.71,0.77,0.39,0.0,0.85,0.18,0.89,0.54,0.68,0.36,0.89,0.59,0.78
modellus.csv,0.18,0.8,0.24,1.0,0.0,0.88,0.45,0.87,0.74,0.27,0.94,0.93,0.2,0.98,0.8,0.85,0.53,0.9,0.45,0.69
mplayer-ce.csv,0.15,0.7,0.21,0.32,0.34,0.71,0.42,0.85,0.55,0.27,0.89,0.94,0.09,0.9,0.53,0.73,0.46,0.85,0.58,0.73
nicepress.csv,0.12,0.71,0.17,0.23,0.2,0.81,0.68,0.66,0.54,0.25,0.75,0.84,0.09,0.93,0.54,0.7,0.3,0.9,0.45,0.68
sbml.csv,0.18,0.72,0.14,0.27,0.31,0.79,0.45,0.85,0.61,0.32,0.93,0.9,0.09,0.94,0.56,0.81,0.48,0.87,0.46,0.7
scite-ru.csv,0.15,0.67,0.25,0.44,0.43,0.69,0.42,0.77,0.54,0.25,0.78,0.91,0.08,0.88,0.52,0.92,0.47,0.86,0.45,0.69
