,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.75,1.0,0.54,0.44,0.43,1.0,0.25,0.64,1.0,0.51,0.67,1.0,0.09,1.0,0.58,0.49,0.83,0.09,0.83,0.6
badtrinity-zero.csv,0.16,0.0,0.54,0.68,0.44,0.0,0.7,0.77,0.9,0.94,1.0,0.9,0.09,0.0,0.33,0.71,0.73,0.0,0.5,0.86
boost.csv,0.41,0.44,0.77,0.54,0.68,0.67,0.4,0.61,0.79,0.51,0.25,0.67,0.73,0.4,0.83,0.6,0.77,0.48,0.67,0.58
critterding.csv,0.62,0.65,1.0,0.85,0.83,0.6,0.9,0.79,0.9,0.81,0.75,0.73,1.0,0.6,0.89,0.71,0.97,0.85,1.0,0.93
enzo.csv,0.82,0.74,0.85,1.0,0.7,0.81,0.95,0.7,0.74,0.79,0.92,0.71,0.73,0.84,0.83,0.93,0.73,0.83,1.0,0.93
etics.csv,0.54,0.56,0.69,0.48,0.63,0.83,0.2,0.67,0.71,0.66,0.67,0.54,0.73,0.55,0.89,0.62,0.93,0.33,0.5,0.74
fmri-dmt.csv,0.64,0.56,0.62,0.63,0.63,0.95,0.2,0.64,0.5,0.26,0.33,0.83,0.91,0.61,0.39,0.55,0.33,0.8,1.0,0.53
genecys.csv,0.79,0.91,0.69,0.66,0.81,0.57,0.65,0.84,0.77,0.89,0.75,0.82,0.55,0.99,0.44,0.85,0.93,0.77,0.83,0.42
gusanos.csv,0.37,0.79,0.77,0.34,0.24,0.86,0.3,0.33,0.6,0.94,0.25,0.67,0.0,0.79,0.11,0.16,0.7,0.0,0.5,0.42
kftpgrabber.csv,0.01,0.47,0.08,0.27,0.39,0.79,0.1,0.27,0.37,0.55,0.25,0.19,0.36,0.52,0.58,0.31,0.83,0.14,0.17,0.35
kvs.csv,0.32,0.29,0.54,0.39,0.13,0.21,0.7,0.27,0.03,0.36,0.17,0.36,0.0,0.31,0.56,0.38,0.13,0.68,0.83,0.3
mcore3d.csv,0.05,0.38,0.15,0.38,0.7,0.64,0.8,0.49,0.84,0.57,0.42,0.19,0.73,0.37,0.69,0.45,0.57,0.11,1.0,0.53
modplug.csv,0.75,0.74,1.0,0.72,0.93,0.88,0.9,0.87,0.89,0.96,1.0,0.74,1.0,0.75,0.97,0.85,1.0,0.66,0.5,0.93
monetdb.csv,0.52,0.44,0.08,0.32,0.55,0.38,0.0,0.19,0.35,0.81,0.5,0.36,0.36,0.43,0.47,0.42,0.6,0.07,0.17,0.42
ogrehg.csv,0.38,0.44,0.69,0.44,0.64,0.79,0.2,0.63,0.76,0.7,0.42,0.51,0.45,0.54,0.81,0.65,0.63,0.67,0.83,0.42
passwordsafe.csv,0.37,0.47,0.77,0.56,0.71,0.64,0.2,0.66,0.79,0.74,0.58,0.62,0.73,0.52,0.89,0.58,0.9,0.27,0.33,0.63
projecteqemu.csv,0.68,0.41,0.77,0.37,0.43,0.79,0.1,0.54,0.53,0.55,0.33,0.3,0.55,0.46,0.78,0.51,0.67,0.72,1.0,0.53
quarkplayer.csv,0.19,0.12,0.54,0.33,0.14,0.12,0.5,0.18,0.03,0.04,0.17,0.4,0.55,0.09,0.47,0.18,0.13,0.4,0.5,0.14
reactos-mirror.csv,0.62,0.68,1.0,0.59,0.74,0.69,0.55,0.73,0.76,0.79,0.75,0.45,0.82,0.67,0.81,0.73,0.83,0.62,0.83,0.67
xbplayer.csv,0.29,0.47,0.38,0.59,0.43,0.69,0.25,0.43,0.63,0.62,0.5,0.83,0.55,0.39,0.69,0.64,0.93,0.12,0.83,0.46
