,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.53,0.84,0.75,0.61,0.66,0.69,0.87,0.67,0.04,0.59,1.0,0.75,0.65,0.91,0.96,0.81
beast-mcmc.csv,0.08,0.72,0.73,0.8,0.79,0.68,0.61,0.85,0.76,0.67,0.91,0.81,0.72,1.05,0.73,0.33
bigdata.csv,0.61,0.67,0.56,0.97,0.85,0.71,0.74,1.0,0.96,0.7,0.65,0.74,0.03,0.97,0.78,0.75
cuberok.csv,0.57,0.71,0.69,0.56,0.7,0.65,0.05,0.77,0.69,0.63,0.82,0.65,0.58,0.91,0.72,0.59
exist.csv,0.58,0.8,0.58,0.63,0.75,0.55,0.9,0.64,0.71,0.04,0.82,0.69,0.7,0.91,0.87,0.62
icescrum.csv,0.43,0.8,0.71,0.54,0.66,0.66,0.87,0.75,0.78,0.62,0.83,0.73,0.63,0.89,0.93,0.0
jbasic.csv,0.78,0.89,0.67,0.66,0.95,0.82,0.66,0.04,0.78,0.89,0.96,0.87,0.82,0.99,0.87,0.84
jrefactory.csv,0.62,0.0,0.7,0.74,0.56,0.7,0.91,0.82,0.8,0.71,0.78,0.66,0.69,0.59,0.95,0.51
jsecurity.csv,0.83,0.78,0.1,0.79,0.86,0.81,0.98,0.85,0.85,0.85,0.73,0.84,0.82,0.82,0.98,0.8
libopenmetaverse.csv,0.93,0.87,0.78,0.95,0.0,0.89,0.94,0.97,0.94,0.8,0.88,0.79,0.81,0.84,0.91,0.65
mobicents.csv,0.67,0.62,0.61,0.68,0.76,0.02,0.93,0.62,0.78,0.61,0.97,0.54,0.62,0.92,0.91,0.51
opendvr.csv,0.65,0.69,0.76,0.56,0.8,0.66,0.66,0.51,0.68,0.61,0.6,0.55,0.75,0.97,0.09,0.58
power-architect.csv,0.7,0.64,0.74,0.79,0.82,0.6,0.61,0.86,0.64,0.61,0.87,0.0,0.58,0.97,0.65,1.0
sidekar.csv,0.74,0.89,0.56,0.03,0.7,0.74,0.65,0.63,0.58,0.54,0.61,0.7,0.75,0.66,0.77,0.6
wheat.csv,0.64,0.87,0.81,0.77,0.79,0.7,0.51,0.94,0.61,0.72,0.05,0.66,0.81,0.85,0.41,0.54
wsmt.csv,0.86,0.71,0.96,0.98,0.73,0.89,0.93,0.87,0.85,0.9,0.86,0.9,0.84,0.09,0.81,1.0
