,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.45,0.61,0.69,0.56,0.52,0.51,0.83,0.63,0.75,0.64,0.0,0.36,0.46,0.59,0.67,0.56
beast-mcmc.csv,0.72,0.52,0.92,0.86,0.62,0.61,0.46,0.75,0.46,0.66,0.86,0.52,0.59,0.43,0.62,0.52
bigdata.csv,0.61,0.57,0.5,0.45,0.39,0.63,0.52,0.43,0.0,0.57,0.5,0.35,0.43,0.89,0.48,0.78
cuberok.csv,0.67,0.44,0.6,0.48,0.4,0.47,0.62,0.57,0.71,0.49,0.6,0.6,0.4,0.5,0.79,0.34
exist.csv,0.46,0.44,0.51,0.5,0.57,0.43,0.71,0.51,0.47,0.46,0.67,0.43,0.44,0.41,0.9,0.39
icescrum.csv,0.66,0.53,0.79,0.62,0.65,0.56,0.83,0.59,0.88,0.52,0.88,0.5,0.53,0.47,0.92,0.58
jbasic.csv,0.97,0.93,0.8,0.77,0.75,0.99,0.5,0.58,0.82,0.94,0.0,0.86,0.92,0.86,0.6,0.75
jrefactory.csv,0.59,0.55,0.72,0.54,0.47,0.56,0.75,0.59,0.46,0.62,0.56,0.42,0.62,0.49,0.81,0.35
jsecurity.csv,0.94,0.89,0.91,0.76,0.89,0.9,0.73,0.83,0.9,0.97,0.7,0.89,0.99,0.83,0.92,0.88
libopenmetaverse.csv,0.37,0.42,0.5,0.48,0.53,0.4,0.37,0.45,0.44,0.4,0.38,0.38,0.41,0.38,0.46,0.45
mobicents.csv,0.61,0.49,0.69,0.69,0.56,0.52,0.88,0.49,0.7,0.48,0.75,0.53,0.53,0.56,0.86,0.43
opendvr.csv,0.5,0.54,0.76,0.57,0.47,0.58,0.93,0.57,0.91,0.57,0.64,0.46,0.5,0.89,0.85,0.32
power-architect.csv,0.45,0.42,0.53,0.52,0.4,0.48,0.57,0.63,0.55,0.42,0.41,0.41,0.48,0.69,0.59,0.31
sidekar.csv,0.37,0.45,0.51,0.48,0.51,0.41,0.4,0.58,0.47,0.51,0.4,0.35,0.42,0.51,0.48,0.5
wheat.csv,0.56,0.91,0.87,0.74,0.59,0.62,0.45,0.88,0.6,0.82,0.5,0.76,0.9,0.53,0.79,0.41
wsmt.csv,0.98,0.94,0.96,0.93,0.93,0.99,0.88,0.92,0.95,0.98,0.91,0.9,0.98,0.62,0.83,0.0
